@relation 192.168.1.1_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,980,cluster0
1,98,cluster1
2,980,cluster0
3,980,cluster0
4,980,cluster0
5,88,cluster1
6,98,cluster1
7,980,cluster0
8,98,cluster1
9,1960,cluster0
10,980,cluster0
11,88,cluster1
12,98,cluster1
13,980,cluster0
14,980,cluster0
15,980,cluster0
16,98,cluster1
17,980,cluster0
18,980,cluster0
19,980,cluster0
20,98,cluster1
21,980,cluster0
22,980,cluster0
23,980,cluster0
24,98,cluster1
25,980,cluster0
26,980,cluster0
27,980,cluster0
28,98,cluster1
29,980,cluster0
30,980,cluster0
31,1055,cluster0
32,98,cluster1
33,980,cluster0
34,980,cluster0
35,980,cluster0
36,98,cluster1
37,980,cluster0
38,980,cluster0
39,980,cluster0
40,322,cluster1
41,1078,cluster0
42,980,cluster0
43,980,cluster0
44,98,cluster1
45,980,cluster0
46,980,cluster0
47,980,cluster0
48,98,cluster1
49,980,cluster0
50,980,cluster0
51,98,cluster1
52,980,cluster0
53,98,cluster1
54,980,cluster0
55,980,cluster0
56,980,cluster0
57,98,cluster1
58,980,cluster0
59,980,cluster0
60,980,cluster0
61,98,cluster1
62,980,cluster0
63,980,cluster0
64,980,cluster0
65,98,cluster1
66,980,cluster0
67,980,cluster0
68,980,cluster0
69,98,cluster1
70,1068,cluster0
71,980,cluster0
72,980,cluster0
73,1068,cluster0
74,980,cluster0
75,980,cluster0
76,1068,cluster0
77,980,cluster0
78,980,cluster0
79,1068,cluster0
80,980,cluster0
81,980,cluster0
82,1068,cluster0
83,980,cluster0
84,98,cluster1
85,980,cluster0
86,1068,cluster0
87,980,cluster0
88,980,cluster0
89,1068,cluster0
90,980,cluster0
91,980,cluster0
92,1068,cluster0
93,1078,cluster0
94,980,cluster0
95,1068,cluster0
96,980,cluster0
97,980,cluster0
98,1078,cluster0
99,98,cluster1
100,980,cluster0
101,980,cluster0
102,980,cluster0
103,98,cluster1
104,980,cluster0
105,980,cluster0
106,980,cluster0
107,98,cluster1
108,980,cluster0
109,980,cluster0
110,980,cluster0
111,98,cluster1
112,980,cluster0
113,980,cluster0
114,980,cluster0
115,98,cluster1
116,980,cluster0
117,98,cluster1
118,980,cluster0
119,980,cluster0
120,75,cluster1
121,98,cluster1
122,980,cluster0
123,980,cluster0
124,980,cluster0
125,98,cluster1
126,980,cluster0
127,980,cluster0
128,980,cluster0
129,98,cluster1
130,980,cluster0
131,980,cluster0
132,980,cluster0
133,322,cluster1
134,98,cluster1
135,980,cluster0
136,980,cluster0
137,980,cluster0
138,98,cluster1
139,980,cluster0
140,980,cluster0
141,98,cluster1
142,980,cluster0
143,1068,cluster0
144,980,cluster0
145,980,cluster0
146,1068,cluster0
147,980,cluster0
148,980,cluster0
149,1068,cluster0
150,980,cluster0
151,980,cluster0
152,1068,cluster0
153,980,cluster0
154,980,cluster0
155,980,cluster0
156,98,cluster1
157,980,cluster0
158,980,cluster0
159,98,cluster1
160,980,cluster0
161,98,cluster1
162,980,cluster0
163,980,cluster0
164,980,cluster0
165,98,cluster1
166,980,cluster0
167,980,cluster0
168,980,cluster0
169,98,cluster1
170,980,cluster0
171,980,cluster0
172,980,cluster0
173,98,cluster1
174,980,cluster0
175,980,cluster0
176,980,cluster0
177,980,cluster0
178,98,cluster1
179,980,cluster0
180,98,cluster1
181,980,cluster0
182,980,cluster0
183,98,cluster1
184,980,cluster0
185,980,cluster0
186,980,cluster0
187,98,cluster1
188,980,cluster0
189,980,cluster0
190,980,cluster0
191,98,cluster1
192,980,cluster0
193,980,cluster0
194,980,cluster0
195,98,cluster1
196,980,cluster0
197,980,cluster0
198,980,cluster0
199,1068,cluster0
200,98,cluster1
201,980,cluster0
202,980,cluster0
203,1068,cluster0
204,980,cluster0
205,980,cluster0
206,1068,cluster0
207,980,cluster0
208,980,cluster0
209,1068,cluster0
210,980,cluster0
211,980,cluster0
212,1068,cluster0
213,980,cluster0
214,980,cluster0
215,980,cluster0
216,98,cluster1
217,980,cluster0
218,98,cluster1
219,980,cluster0
220,980,cluster0
221,98,cluster1
222,980,cluster0
223,980,cluster0
224,980,cluster0
225,98,cluster1
226,980,cluster0
227,980,cluster0
228,980,cluster0
229,322,cluster1
230,1078,cluster0
231,980,cluster0
232,980,cluster0
233,98,cluster1
234,980,cluster0
235,980,cluster0
236,980,cluster0
237,98,cluster1
238,980,cluster0
239,98,cluster1
240,980,cluster0
241,980,cluster0
242,980,cluster0
243,98,cluster1
244,980,cluster0
245,980,cluster0
246,980,cluster0
247,98,cluster1
248,980,cluster0
249,980,cluster0
250,980,cluster0
251,98,cluster1
252,980,cluster0
253,980,cluster0
254,980,cluster0
255,1068,cluster0
256,980,cluster0
257,1055,cluster0
258,1068,cluster0
259,980,cluster0
260,980,cluster0
261,1068,cluster0
262,980,cluster0
263,980,cluster0
264,1068,cluster0
265,980,cluster0
266,980,cluster0
267,1068,cluster0
268,980,cluster0
269,980,cluster0
270,1068,cluster0
271,1068,cluster0
272,980,cluster0
273,1055,cluster0
274,98,cluster1
275,980,cluster0
276,980,cluster0
277,980,cluster0
278,98,cluster1
279,980,cluster0
280,980,cluster0
281,980,cluster0
282,98,cluster1
283,980,cluster0
284,980,cluster0
285,980,cluster0
286,98,cluster1
287,980,cluster0
288,980,cluster0
289,980,cluster0
290,1068,cluster0
291,98,cluster1
292,980,cluster0
293,980,cluster0
294,1068,cluster0
295,980,cluster0
296,980,cluster0
297,1068,cluster0
298,980,cluster0
299,980,cluster0
300,1068,cluster0
301,980,cluster0
302,980,cluster0
303,1068,cluster0
304,980,cluster0
305,980,cluster0
306,980,cluster0
307,98,cluster1
308,980,cluster0
309,980,cluster0
310,98,cluster1
311,980,cluster0
312,98,cluster1
313,980,cluster0
314,980,cluster0
315,980,cluster0
316,98,cluster1
317,980,cluster0
318,980,cluster0
319,980,cluster0
320,322,cluster1
321,1078,cluster0
322,980,cluster0
323,980,cluster0
324,98,cluster1
325,980,cluster0
326,980,cluster0
327,980,cluster0
328,980,cluster0
329,75,cluster1
330,98,cluster1
331,980,cluster0
332,980,cluster0
333,980,cluster0
334,98,cluster1
335,980,cluster0
336,980,cluster0
337,980,cluster0
338,98,cluster1
339,980,cluster0
340,980,cluster0
341,980,cluster0
342,98,cluster1
343,980,cluster0
344,980,cluster0
345,980,cluster0
346,98,cluster1
347,980,cluster0
348,1960,cluster0
349,980,cluster0
350,176,cluster1
351,980,cluster0
352,980,cluster0
353,980,cluster0
354,98,cluster1
355,980,cluster0
356,980,cluster0
357,980,cluster0
358,98,cluster1
359,980,cluster0
360,980,cluster0
361,980,cluster0
362,98,cluster1
363,980,cluster0
364,980,cluster0
365,980,cluster0
366,88,cluster1
367,1078,cluster0
368,1078,cluster0
369,980,cluster0
370,980,cluster0
371,98,cluster1
372,980,cluster0
373,980,cluster0
374,98,cluster1
375,980,cluster0
376,980,cluster0
377,980,cluster0
378,98,cluster1
379,980,cluster0
