@relation communication_pattern.2016-0924-1007pattern-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P70.0-S2-weka.filters.supervised.instance.SMOTE-C1-K1-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2_predicted

@attribute timeave_1 numeric
@attribute timesd_1 numeric
@attribute dataave_1 numeric
@attribute datasd_1 numeric
@attribute 'prediction margin' numeric
@attribute 'predicted class' {streaming,sencing,kensaku}
@attribute class {streaming,sencing,kensaku}

@data
207.915254,2421.540531,768.966102,6853.189566,-0.333333,streaming,kensaku
212.484739,2386.663914,778.862988,7217.550199,0.333333,kensaku,kensaku
157.26569,1019.534041,2084.003488,16437.294567,0.333333,kensaku,kensaku
183.523629,1129.470196,1366.655128,13058.069008,0.333333,kensaku,kensaku
175.673401,1212.406296,1626.163434,11280.118378,0.333333,kensaku,kensaku
173.216778,2318.480207,1410.899811,10651.276066,0.333333,kensaku,kensaku
27471.668205,395.968457,152540.778519,642.487397,0.333333,kensaku,kensaku
10253.036043,509.513093,133815.143568,2774.687345,0.333333,kensaku,kensaku
143.803525,1504.250576,824.180311,6499.352394,0.333333,kensaku,kensaku
216.62238,2277.53826,822.919002,5172.237575,-0.333333,streaming,kensaku
187.278181,1371.112729,1366.932359,13101.321166,0.333333,kensaku,kensaku
212.60218,2337.220435,990.329297,7226.570039,0.333333,kensaku,kensaku
160.95103,1019.556582,2209.452126,15859.294912,0.333333,kensaku,kensaku
183.730915,2040.54175,732.699571,5675.229938,-0.333333,streaming,kensaku
157.227789,1093.988427,1453.205313,17913.085626,0.333333,kensaku,kensaku
34636.049616,88.486117,710677.669195,2459.131686,0.333333,kensaku,kensaku
2195.568839,1205.88056,20297.204529,7948.071834,0.333333,kensaku,kensaku
26889.98765,169.946035,88147.648982,3717.642444,0.333333,kensaku,kensaku
186.072688,2313.320824,1681.490346,10171.592534,0.333333,kensaku,kensaku
35569.254473,80.82994,815722.414188,1746.60476,0.333333,kensaku,kensaku
174.618861,1129.774722,1107.933696,7385.454017,0.333333,kensaku,kensaku
168.981356,1023.789246,1783.059758,16951.118671,0.333333,kensaku,kensaku
171.284255,1163.297409,1231.569194,10664.57284,0.333333,kensaku,kensaku
200.775363,2359.200457,946.902878,7697.03386,0.333333,kensaku,kensaku
6946.077349,427.778374,67690.296864,7465.451671,0.333333,kensaku,kensaku
23639.50689,10.891431,88273.052058,4913.396993,0.333333,kensaku,kensaku
221.507389,2360.292904,853.388204,5164.324184,-0.333333,streaming,kensaku
182.18259,1402.498158,443.509554,718.984159,0.333333,sencing,sencing
8095.5,8036.5,90,0,0.333333,sencing,sencing
3194.521739,6655.640915,101.73913,30.310304,0.333333,sencing,sencing
3778.846154,1537.458535,622,0,0.333333,sencing,sencing
1331.704918,2930.982543,95.901639,22.2782,0.333333,sencing,sencing
542.496732,1137.135934,95.294118,21.176471,0.333333,sencing,sencing
114.058577,895.75271,413.613668,643.049024,0.333333,sencing,sencing
1110.652778,2280.442526,100,28.284271,0.333333,sencing,sencing
211.522277,96.375026,750,408.502009,0.333333,sencing,sencing
2654.466667,5146.380966,96,22.449944,0.333333,sencing,sencing
3585,1666.050201,203.727273,68.94608,0.333333,sencing,sencing
291.013605,48.530513,488.632653,43.815566,0.333333,sencing,sencing
1219.279412,2342.840645,93.970588,18.482082,0.333333,sencing,sencing
2905.793103,8002.593008,96.206897,22.805594,0.333333,sencing,sencing
363.846809,588.909416,90.765957,8.267374,0.333333,sencing,sencing
1254.138462,2286.689511,94.153846,18.883636,0.333333,sencing,sencing
1728.765957,1488.860756,2596.148936,1675.342518,0.333333,sencing,sencing
1357.278689,1913.655177,720.967213,880.640452,0.333333,sencing,sencing
10781.428571,14221.826323,102.857143,31.49344,0.333333,sencing,sencing
2014.307692,1673.705166,3058.051282,1415.117626,0.333333,sencing,sencing
1505.488889,4732.510748,98,25.612497,0.333333,sencing,sencing
260.451515,2205.435809,422.718182,712.296144,0.333333,sencing,sencing
276.854369,60.484196,912.944984,181.403911,0.333333,sencing,sencing
565.178808,1434.604415,95.960265,22.380775,0.333333,sencing,sencing
58.959694,1.528434,860.695622,160.609966,0.333333,sencing,sencing
1580.145833,2393.403095,99.375,27.492897,0.333333,sencing,sencing
3609.545455,1740.081731,225.818182,64.382124,0.333333,sencing,sencing
357,554.34687,90.753138,8.198488,0.333333,sencing,sencing
176.566396,1594.778658,422.463415,647.819088,0.333333,sencing,sencing
275.244373,60.988572,912.482315,200.981672,0.333333,sencing,sencing
1259.776119,1843.347797,718.835821,885.906359,0.333333,sencing,sencing
280.545752,53.796939,917.418301,170.015113,0.333333,sencing,sencing
598.570423,5.10095,113,0,0.333333,sencing,sencing
59.847673,7.414063,67.472496,31.868974,0.333333,sencing,sencing
148.289562,1441.88986,410.218855,712.451463,0.333333,sencing,sencing
1731.489796,1496.14157,3044.326531,1455.724357,0.333333,sencing,sencing
252.511737,89.259794,234.253521,58.552425,0.333333,sencing,sencing
139.054054,1043.064403,435.216216,686.586878,0.333333,sencing,sencing
2648.966667,1872.297172,3379.966667,1092.075134,0.333333,sencing,sencing
1306.703125,2318.06092,95.625,21.785531,0.333333,sencing,sencing
183.75641,1501.622372,437.382051,657.081914,0.333333,sencing,sencing
232.016575,2063.759061,448.428177,696.017294,0.333333,sencing,sencing
4386.4375,9806.903423,95.625,21.785531,0.333333,sencing,sencing
1845.311111,1494.994193,3131.444444,1911.872875,0.333333,sencing,sencing
290.047458,38.826748,491.627119,46.962913,0.333333,sencing,sencing
291.190476,35.113293,490.22449,37.750937,0.333333,sencing,sencing
59.295105,4.733415,72.369231,36.438098,0.333333,sencing,sencing
1918.923077,1461.316633,2782.038462,1624.620464,0.333333,sencing,sencing
2584.85,6039.351143,99,27,0.333333,sencing,sencing
625.003827,3285.447752,12653.991316,5875.862954,0.333333,streaming,streaming
