time_ave,time_sd,data_ave,data_sd,class
24.627118644067796,17.87233285075836,142.242774566,64.47214765707477,label
21.071942446043167,11.938475546952246,84.4594594595,32.83648645867979,label
420.6,310.2699469816566,865.666666667,302.13223742078384,label
200.4,312.80000000000007,414.166666667,628.4829397490083,label
99.79310344827586,6.577806522274042,1461.0,0.0,label
58.38,12.056351023423307,98.0,0.0,label
756.25,1233.6531876909328,465.2,642.8693179799452,label
63.02127659574468,24.622675383701804,978.942307692,244.28635572760615,label
28.796116504854368,17.656022500822022,877.75,1749.0069305338832,label
time_ave,time_sd,data_ave,data_sd,class
24.627118644067796,17.87233285075836,142.242774566,64.47214765707477,label
21.071942446043167,11.938475546952246,84.4594594595,32.83648645867979,label
420.6,310.2699469816566,865.666666667,302.13223742078384,label
200.4,312.80000000000007,414.166666667,628.4829397490083,label
99.79310344827586,6.577806522274042,1461.0,0.0,label
58.38,12.056351023423307,98.0,0.0,label
756.25,1233.6531876909328,465.2,642.8693179799452,label
63.02127659574468,24.622675383701804,978.942307692,244.28635572760615,label
28.796116504854368,17.656022500822022,877.75,1749.0069305338832,label
