No. ,length
0,132
1,2231
2,5863
3,132
4,66
5,198
6,2085
7,5391
8,132
9,66
10,198
11,2097
12,5728
13,5579
14,132
15,264
16,2399
17,6293
18,132
19,66
20,198
21,2051
22,5288
23,132
24,66
25,132
26,2084
27,5759
28,132
29,66
30,132
31,2182
32,5669
33,132
34,66
35,132
36,2044
37,5742
38,132
39,66
40,132
41,2103
42,5616
43,132
44,66
45,132
46,2022
47,5734
48,5676
49,198
50,198
