No. ,length
0,2026
1,1041
2,0
3,1041
4,1041
5,1041
6,1041
7,1041
8,1041
9,1041
10,1041
11,1041
12,1041
13,1106
14,1041
15,1041
16,1041
17,0
18,1041
19,1041
20,1041
21,1041
22,1041
23,1041
24,1041
25,1041
26,1041
27,1041
28,0
29,1041
30,0
31,1041
32,1041
33,1041
34,1041
35,0
36,1041
37,1041
38,1041
39,1041
40,1041
41,1041
42,1106
43,1041
44,1041
45,1041
46,1041
47,1041
48,0
49,1041
50,1041
