@relation communication_pattern.2016-0924-1007pattern-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P70.0-S2-weka.filters.supervised.instance.SMOTE-C1-K1-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2

@attribute timeave_1 numeric
@attribute timesd_1 numeric
@attribute dataave_1 numeric
@attribute datasd_1 numeric
@attribute class {streaming,kensaku,sencing}

@data
1357.278689,1913.655177,720.967213,880.640452,sencing
540.878981,997.900569,95.732484,21.978676,sencing
280.688525,52.677659,935.790164,197.563292,sencing
1970.309524,3423.50229,96.428571,23.178544,sencing
177.29718,2107.182268,449.650759,636.250314,sencing
727.232759,2004.494439,94.655172,19.932257,sencing
1913.302326,2477.478224,2364.72093,2142.384483,sencing
4332.055556,828.873296,610.444444,39.433801,sencing
255.41369,82.496455,220.625,66.939221,sencing
1458.912281,1116.292615,2715.070175,1972.078856,sencing
1122.307692,2422.279009,94.153846,18.883636,sencing
292.225256,33.943194,491.638225,47.12273,sencing
768.144144,1484.016171,98.918919,26.891552,sencing
4056.631579,1263.306406,221.684211,55.110466,sencing
865.197917,2121.543113,93.75,17.984368,sencing
431.036082,853.543616,95.56701,21.68039,sencing
154.540773,1497.954899,447.238197,681.821872,sencing
363.715909,580.858181,91.022727,9.539365,sencing
887.858696,1687.879443,100.76087,29.200718,sencing
189.269841,1389.238003,443.796825,655.829863,sencing
59.847673,7.414063,67.472496,31.868974,sencing
926.083333,1866.508105,97.5,24.874686,sencing
415.78744,3612.398329,455.241546,727.38751,sencing
602.794326,44.895074,113,0,sencing
335.538462,78.676177,90,0,sencing
1017.984375,2241.563207,95.625,21.785531,sencing
292.225256,34.659589,826.477816,80.856277,sencing
1069.763889,1930.159331,96.25,22.878757,sencing
58.959694,1.528434,879.223767,142.754911,sencing
210.6133,92.236421,386.536946,187.726119,sencing
1032.012821,2470.467144,94.615385,19.85152,sencing
504.532544,2539.45115,90.532544,6.902564,sencing
1697.265306,1499.668518,2634.22449,1716.230935,sencing
1526.767857,3427.895142,98.035714,25.664013,sencing
1331.704918,2930.982543,95.901639,22.2782,sencing
1254.767442,1853.029409,696.767442,869.712324,sencing
466.46087,1033.743398,95.478261,21.518182,sencing
267.646766,77.380494,995.029851,322.002672,sencing
306.446328,3269.187661,22394.372881,5851.256933,streaming
1609.692308,2913.761457,96.923077,23.982242,sencing
291.092105,2010.024513,458.013158,675.740938,sencing
1309.848485,3124.333239,95.454545,21.474567,sencing
1142.869565,961.002593,2376.565217,1617.143142,sencing
3778.846154,1537.458535,622,0,sencing
252.511737,89.259794,234.253521,58.552425,sencing
1918.923077,1461.316633,2782.038462,1624.620464,sencing
1453.928571,3011.579106,96.428571,23.178544,sencing
271.717172,74.499751,574.065657,385.658038,sencing
732.123288,2477.935044,92.465753,14.691422,sencing
661.197531,1332.257774,93.333333,16.996732,sencing
2213.454545,2146.707071,250.363636,71.981403,sencing
800.471698,2478.634626,90,0,sencing
410.864078,743.773546,94.368932,19.342087,sencing
364.77931,3319.896343,467.537931,714.836726,sencing
1128.352941,4252.194969,95.294118,21.176471,sencing
643.483871,1241.484267,95.806452,22.110309,sencing
141.671916,759.603716,525.238845,904.067974,sencing
59.335183,5.25306,71.833518,36.147482,sencing
1195.514286,1876.485916,90,0,sencing
169.223176,1046.856345,440.287554,659.268862,sencing
598.295455,6.571563,113,0,sencing
2066.866667,5571.661845,96,22.449944,sencing
1220.772727,3812.170539,94.090909,18.746901,sencing
283.2,61.408571,805.221053,69.265497,sencing
872.148936,1592.465491,99.574468,27.749445,sencing
58.936053,1.924796,862.403528,146.167513,sencing
188.466667,104.59182,516.926316,449.803097,sencing
1093.653061,2420.909102,97.346939,24.642382,sencing
638.121212,1992.663031,91.363636,10.993988,sencing
1392.277778,7181.568339,10997.861111,6590.501773,streaming
2494.9,2311.951425,2589.65,2526.139293,sencing
600.45679,2057.339022,92.222222,13.96645,sencing
774.254902,1811.611219,98.823529,26.76309,sencing
