@relation 72.21.207.109_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0}

@data
0,3715,cluster0
1,3715,cluster0
2,3715,cluster0
3,3715,cluster0
4,3843,cluster0
5,3715,cluster0
6,3823,cluster0
7,3715,cluster0
8,108,cluster0
9,3931,cluster0
10,108,cluster0
11,3715,cluster0
12,108,cluster0
13,3715,cluster0
14,108,cluster0
15,3715,cluster0
16,108,cluster0
17,3931,cluster0
18,108,cluster0
19,3715,cluster0
20,3715,cluster0
21,4059,cluster0
22,3715,cluster0
23,108,cluster0
24,3715,cluster0
25,108,cluster0
26,3715,cluster0
27,108,cluster0
28,11253,cluster0
29,3954,cluster0
30,108,cluster0
31,3763,cluster0
32,3843,cluster0
33,3715,cluster0
34,108,cluster0
35,3715,cluster0
36,14601,cluster0
37,108,cluster0
38,733,cluster0
39,1486,cluster0
40,3715,cluster0
41,108,cluster0
42,3715,cluster0
43,108,cluster0
44,3931,cluster0
45,4059,cluster0
46,3715,cluster0
47,3843,cluster0
48,3843,cluster0
49,4059,cluster0
50,3715,cluster0
51,3843,cluster0
