@relation 205.251.242.52_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,162,cluster1
1,298,cluster1
2,298,cluster1
3,298,cluster1
4,298,cluster1
5,519,cluster1
6,298,cluster1
7,488,cluster1
8,488,cluster1
9,298,cluster1
10,298,cluster1
11,298,cluster1
12,298,cluster1
13,488,cluster1
14,298,cluster1
15,298,cluster1
16,298,cluster1
17,298,cluster1
18,488,cluster1
19,298,cluster1
20,298,cluster1
21,298,cluster1
22,298,cluster1
23,298,cluster1
24,298,cluster1
25,393,cluster1
26,301,cluster1
27,6022,cluster0
28,542,cluster1
29,1249,cluster1
30,298,cluster1
31,298,cluster1
32,298,cluster1
33,298,cluster1
34,298,cluster1
35,298,cluster1
36,298,cluster1
37,298,cluster1
38,393,cluster1
39,298,cluster1
40,298,cluster1
41,298,cluster1
42,298,cluster1
43,298,cluster1
44,488,cluster1
45,298,cluster1
46,298,cluster1
47,298,cluster1
48,298,cluster1
49,298,cluster1
50,393,cluster1
51,298,cluster1
52,298,cluster1
53,298,cluster1
54,298,cluster1
55,393,cluster1
56,298,cluster1
57,298,cluster1
58,393,cluster1
59,298,cluster1
60,488,cluster1
61,298,cluster1
62,393,cluster1
63,298,cluster1
64,393,cluster1
65,298,cluster1
66,298,cluster1
67,298,cluster1
68,298,cluster1
69,298,cluster1
70,393,cluster1
71,298,cluster1
72,298,cluster1
73,488,cluster1
74,298,cluster1
75,393,cluster1
76,298,cluster1
77,393,cluster1
78,488,cluster1
79,298,cluster1
80,298,cluster1
81,298,cluster1
82,298,cluster1
83,298,cluster1
84,298,cluster1
85,488,cluster1
86,393,cluster1
87,393,cluster1
88,298,cluster1
89,352,cluster1
90,393,cluster1
91,488,cluster1
92,393,cluster1
93,488,cluster1
94,298,cluster1
95,298,cluster1
96,488,cluster1
97,393,cluster1
98,735,cluster1
99,6280,cluster0
100,393,cluster1
101,298,cluster1
102,583,cluster1
103,298,cluster1
104,298,cluster1
105,1153,cluster1
106,298,cluster1
107,488,cluster1
108,298,cluster1
109,393,cluster1
110,298,cluster1
111,298,cluster1
112,298,cluster1
113,393,cluster1
114,298,cluster1
115,488,cluster1
116,298,cluster1
117,298,cluster1
118,298,cluster1
119,298,cluster1
120,393,cluster1
121,298,cluster1
122,488,cluster1
123,298,cluster1
124,298,cluster1
125,298,cluster1
126,488,cluster1
127,298,cluster1
128,298,cluster1
129,298,cluster1
130,298,cluster1
131,393,cluster1
132,488,cluster1
133,488,cluster1
134,298,cluster1
