@relation 23.23.189.20_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,583,cluster1
1,794,cluster1
2,794,cluster1
3,985,cluster0
4,975,cluster0
5,794,cluster1
6,794,cluster1
7,985,cluster0
8,975,cluster0
9,794,cluster1
10,794,cluster1
11,794,cluster1
12,985,cluster0
13,975,cluster0
14,794,cluster1
15,794,cluster1
16,985,cluster0
17,774,cluster1
18,975,cluster0
19,794,cluster1
20,794,cluster1
21,985,cluster0
22,975,cluster0
23,794,cluster1
24,794,cluster1
25,794,cluster1
26,985,cluster0
27,975,cluster0
28,794,cluster1
29,794,cluster1
30,985,cluster0
31,975,cluster0
32,794,cluster1
33,794,cluster1
34,794,cluster1
35,985,cluster0
36,975,cluster0
37,794,cluster1
38,794,cluster1
39,985,cluster0
40,975,cluster0
41,794,cluster1
42,794,cluster1
43,794,cluster1
44,985,cluster0
45,975,cluster0
46,794,cluster1
47,794,cluster1
48,985,cluster0
49,975,cluster0
50,794,cluster1
51,794,cluster1
52,794,cluster1
53,985,cluster0
54,975,cluster0
55,794,cluster1
56,794,cluster1
57,985,cluster0
58,975,cluster0
59,794,cluster1
60,794,cluster1
61,794,cluster1
62,985,cluster0
63,975,cluster0
64,794,cluster1
65,794,cluster1
66,985,cluster0
67,774,cluster1
68,975,cluster0
69,794,cluster1
70,794,cluster1
71,985,cluster0
72,975,cluster0
73,794,cluster1
74,794,cluster1
75,794,cluster1
76,985,cluster0
77,975,cluster0
78,794,cluster1
79,794,cluster1
80,985,cluster0
81,975,cluster0
82,794,cluster1
83,794,cluster1
84,794,cluster1
85,985,cluster0
86,975,cluster0
87,794,cluster1
88,794,cluster1
89,985,cluster0
90,975,cluster0
91,794,cluster1
92,794,cluster1
93,794,cluster1
94,985,cluster0
95,975,cluster0
96,794,cluster1
97,794,cluster1
98,985,cluster0
99,975,cluster0
100,794,cluster1
101,794,cluster1
102,794,cluster1
103,985,cluster0
104,975,cluster0
105,794,cluster1
106,794,cluster1
107,985,cluster0
108,975,cluster0
109,794,cluster1
110,794,cluster1
111,794,cluster1
112,985,cluster0
113,975,cluster0
114,794,cluster1
115,794,cluster1
116,985,cluster0
117,774,cluster1
118,975,cluster0
119,794,cluster1
120,794,cluster1
121,985,cluster0
122,975,cluster0
123,794,cluster1
124,794,cluster1
125,794,cluster1
126,985,cluster0
127,975,cluster0
128,794,cluster1
129,794,cluster1
130,985,cluster0
131,975,cluster0
132,794,cluster1
133,794,cluster1
134,794,cluster1
135,985,cluster0
136,975,cluster0
137,794,cluster1
138,794,cluster1
139,985,cluster0
140,975,cluster0
141,794,cluster1
142,794,cluster1
143,794,cluster1
144,985,cluster0
145,975,cluster0
146,794,cluster1
147,794,cluster1
148,985,cluster0
149,975,cluster0
150,794,cluster1
151,794,cluster1
152,794,cluster1
153,985,cluster0
154,975,cluster0
155,794,cluster1
156,794,cluster1
157,985,cluster0
158,975,cluster0
159,794,cluster1
160,794,cluster1
161,794,cluster1
162,985,cluster0
163,975,cluster0
164,794,cluster1
165,794,cluster1
166,985,cluster0
167,774,cluster1
168,975,cluster0
169,794,cluster1
170,794,cluster1
171,985,cluster0
172,975,cluster0
173,794,cluster1
174,794,cluster1
175,794,cluster1
176,985,cluster0
177,975,cluster0
178,794,cluster1
179,794,cluster1
180,985,cluster0
181,975,cluster0
182,794,cluster1
183,794,cluster1
184,794,cluster1
185,985,cluster0
186,975,cluster0
187,794,cluster1
188,794,cluster1
189,985,cluster0
190,975,cluster0
191,794,cluster1
192,794,cluster1
193,794,cluster1
194,985,cluster0
195,975,cluster0
196,794,cluster1
197,794,cluster1
198,985,cluster0
199,975,cluster0
200,794,cluster1
201,794,cluster1
202,794,cluster1
203,985,cluster0
204,975,cluster0
205,794,cluster1
206,794,cluster1
207,985,cluster0
208,975,cluster0
