@relation 23.23.189.20_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,593,cluster1
1,975,cluster0
2,794,cluster1
3,794,cluster1
4,985,cluster0
5,975,cluster0
6,794,cluster1
7,794,cluster1
8,794,cluster1
9,985,cluster0
10,975,cluster0
11,794,cluster1
12,794,cluster1
13,985,cluster0
14,975,cluster0
15,794,cluster1
16,794,cluster1
17,794,cluster1
18,985,cluster0
19,975,cluster0
20,794,cluster1
21,794,cluster1
22,985,cluster0
23,975,cluster0
24,794,cluster1
25,794,cluster1
26,794,cluster1
27,985,cluster0
28,975,cluster0
29,794,cluster1
30,794,cluster1
31,985,cluster0
32,774,cluster1
33,975,cluster0
34,794,cluster1
35,794,cluster1
36,985,cluster0
37,975,cluster0
38,794,cluster1
39,794,cluster1
40,985,cluster0
41,774,cluster1
42,975,cluster0
43,794,cluster1
44,794,cluster1
45,985,cluster0
46,975,cluster0
47,794,cluster1
48,794,cluster1
49,985,cluster0
50,774,cluster1
51,975,cluster0
52,794,cluster1
53,794,cluster1
54,985,cluster0
55,975,cluster0
56,794,cluster1
57,794,cluster1
58,794,cluster1
59,985,cluster0
60,975,cluster0
61,794,cluster1
62,794,cluster1
63,985,cluster0
64,975,cluster0
65,794,cluster1
66,794,cluster1
67,794,cluster1
68,985,cluster0
69,975,cluster0
70,794,cluster1
71,794,cluster1
72,985,cluster0
73,975,cluster0
74,794,cluster1
75,794,cluster1
76,794,cluster1
77,985,cluster0
78,975,cluster0
79,794,cluster1
80,794,cluster1
81,985,cluster0
82,774,cluster1
83,975,cluster0
84,794,cluster1
85,794,cluster1
86,985,cluster0
87,975,cluster0
88,794,cluster1
89,794,cluster1
90,985,cluster0
91,774,cluster1
92,975,cluster0
93,794,cluster1
94,794,cluster1
95,985,cluster0
96,975,cluster0
97,794,cluster1
98,794,cluster1
99,985,cluster0
100,774,cluster1
101,975,cluster0
102,794,cluster1
103,794,cluster1
104,985,cluster0
105,975,cluster0
106,794,cluster1
107,794,cluster1
108,794,cluster1
109,985,cluster0
110,975,cluster0
111,794,cluster1
112,794,cluster1
113,985,cluster0
114,975,cluster0
115,794,cluster1
116,794,cluster1
117,794,cluster1
118,985,cluster0
119,975,cluster0
120,794,cluster1
121,794,cluster1
122,985,cluster0
123,975,cluster0
124,794,cluster1
125,794,cluster1
126,794,cluster1
127,985,cluster0
128,975,cluster0
129,794,cluster1
130,794,cluster1
131,985,cluster0
