@relation 205.251.242.52_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,311,cluster2
1,257,cluster2
2,355,cluster2
3,6090,cluster0
4,339,cluster2
5,339,cluster2
6,406,cluster2
7,339,cluster2
8,339,cluster2
9,339,cluster2
10,339,cluster2
11,339,cluster2
12,339,cluster2
13,339,cluster2
14,339,cluster2
15,768,cluster1
16,339,cluster2
17,1308,cluster1
18,339,cluster2
19,339,cluster2
20,339,cluster2
21,339,cluster2
22,339,cluster2
23,339,cluster2
24,542,cluster2
25,434,cluster2
26,339,cluster2
27,339,cluster2
28,339,cluster2
29,339,cluster2
30,771,cluster1
31,339,cluster2
32,339,cluster2
33,339,cluster2
34,339,cluster2
35,339,cluster2
36,339,cluster2
37,339,cluster2
38,339,cluster2
39,339,cluster2
40,339,cluster2
41,339,cluster2
42,406,cluster2
43,339,cluster2
44,339,cluster2
45,786,cluster1
46,339,cluster2
47,339,cluster2
48,339,cluster2
49,339,cluster2
50,406,cluster2
51,339,cluster2
52,339,cluster2
53,339,cluster2
54,339,cluster2
55,339,cluster2
56,339,cluster2
57,339,cluster2
58,339,cluster2
59,569,cluster2
60,583,cluster2
61,339,cluster2
62,406,cluster2
63,339,cluster2
64,339,cluster2
65,406,cluster2
66,339,cluster2
67,339,cluster2
68,339,cluster2
69,339,cluster2
70,339,cluster2
71,339,cluster2
72,339,cluster2
73,339,cluster2
74,406,cluster2
75,585,cluster2
76,339,cluster2
77,352,cluster2
78,339,cluster2
79,406,cluster2
80,339,cluster2
81,339,cluster2
82,406,cluster2
83,339,cluster2
84,216,cluster2
85,5996,cluster0
86,257,cluster2
87,1266,cluster1
88,257,cluster2
89,257,cluster2
90,981,cluster1
91,257,cluster2
92,406,cluster2
93,393,cluster2
94,257,cluster2
95,257,cluster2
96,257,cluster2
97,257,cluster2
98,257,cluster2
99,257,cluster2
100,690,cluster1
101,257,cluster2
102,406,cluster2
103,257,cluster2
104,257,cluster2
105,257,cluster2
106,257,cluster2
107,257,cluster2
108,406,cluster2
109,393,cluster2
110,393,cluster2
111,257,cluster2
112,257,cluster2
113,257,cluster2
114,257,cluster2
115,501,cluster2
116,257,cluster2
117,406,cluster2
118,257,cluster2
119,257,cluster2
120,257,cluster2
121,257,cluster2
122,257,cluster2
123,257,cluster2
124,257,cluster2
125,257,cluster2
126,257,cluster2
127,257,cluster2
128,257,cluster2
129,257,cluster2
130,503,cluster2
131,257,cluster2
132,406,cluster2
133,257,cluster2
134,257,cluster2
135,257,cluster2
136,257,cluster2
137,257,cluster2
138,257,cluster2
139,393,cluster2
140,257,cluster2
141,257,cluster2
142,257,cluster2
143,257,cluster2
144,488,cluster2
145,277,cluster2
146,542,cluster2
147,257,cluster2
148,257,cluster2
149,257,cluster2
150,311,cluster2
151,257,cluster2
152,257,cluster2
153,257,cluster2
154,257,cluster2
155,393,cluster2
156,257,cluster2
157,257,cluster2
158,257,cluster2
159,257,cluster2
160,594,cluster2
161,504,cluster2
162,6029,cluster0
163,339,cluster2
164,1723,cluster1
165,339,cluster2
166,339,cluster2
167,339,cluster2
168,339,cluster2
169,339,cluster2
170,339,cluster2
171,406,cluster2
172,339,cluster2
173,434,cluster2
174,406,cluster2
175,339,cluster2
176,339,cluster2
177,339,cluster2
178,406,cluster2
179,585,cluster2
180,339,cluster2
181,339,cluster2
182,339,cluster2
183,406,cluster2
184,339,cluster2
185,406,cluster2
186,339,cluster2
187,339,cluster2
188,339,cluster2
189,339,cluster2
190,339,cluster2
191,339,cluster2
192,434,cluster2
193,559,cluster2
194,583,cluster2
195,339,cluster2
196,339,cluster2
197,339,cluster2
198,339,cluster2
199,542,cluster2
200,339,cluster2
201,339,cluster2
202,339,cluster2
203,339,cluster2
204,339,cluster2
205,406,cluster2
206,434,cluster2
207,339,cluster2
208,339,cluster2
209,679,cluster1
210,339,cluster2
211,339,cluster2
212,339,cluster2
213,434,cluster2
214,339,cluster2
215,339,cluster2
216,339,cluster2
217,339,cluster2
218,339,cluster2
219,339,cluster2
220,339,cluster2
221,406,cluster2
222,339,cluster2
223,339,cluster2
224,638,cluster2
225,339,cluster2
226,339,cluster2
227,339,cluster2
228,339,cluster2
229,339,cluster2
230,339,cluster2
231,406,cluster2
232,339,cluster2
