@relation 192.168.1.1_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,490,cluster1
1,490,cluster1
2,88,cluster1
3,98,cluster1
4,490,cluster1
5,490,cluster1
6,490,cluster1
7,98,cluster1
8,490,cluster1
9,490,cluster1
10,490,cluster1
11,98,cluster1
12,490,cluster1
13,490,cluster1
14,490,cluster1
15,98,cluster1
16,490,cluster1
17,490,cluster1
18,490,cluster1
19,98,cluster1
20,490,cluster1
21,98,cluster1
22,490,cluster1
23,98,cluster1
24,565,cluster1
25,490,cluster1
26,98,cluster1
27,490,cluster1
28,490,cluster1
29,490,cluster1
30,98,cluster1
31,490,cluster1
32,490,cluster1
33,490,cluster1
34,98,cluster1
35,490,cluster1
36,490,cluster1
37,490,cluster1
38,98,cluster1
39,490,cluster1
40,490,cluster1
41,490,cluster1
42,98,cluster1
43,578,cluster1
44,490,cluster1
45,98,cluster1
46,490,cluster1
47,490,cluster1
48,75,cluster1
49,98,cluster1
50,490,cluster1
51,490,cluster1
52,490,cluster1
53,98,cluster1
54,490,cluster1
55,490,cluster1
56,490,cluster1
57,98,cluster1
58,490,cluster1
59,490,cluster1
60,490,cluster1
61,98,cluster1
62,490,cluster1
63,490,cluster1
64,490,cluster1
65,98,cluster1
66,490,cluster1
67,490,cluster1
68,490,cluster1
69,98,cluster1
70,578,cluster1
71,490,cluster1
72,490,cluster1
73,578,cluster1
74,490,cluster1
75,490,cluster1
76,578,cluster1
77,490,cluster1
78,490,cluster1
79,578,cluster1
80,98,cluster1
81,490,cluster1
82,490,cluster1
83,578,cluster1
84,490,cluster1
85,490,cluster1
86,98,cluster1
87,490,cluster1
88,98,cluster1
89,490,cluster1
90,490,cluster1
91,490,cluster1
92,98,cluster1
93,490,cluster1
94,490,cluster1
95,490,cluster1
96,98,cluster1
97,490,cluster1
98,490,cluster1
99,490,cluster1
100,98,cluster1
101,490,cluster1
102,490,cluster1
103,490,cluster1
104,490,cluster1
105,88,cluster1
106,98,cluster1
107,490,cluster1
108,490,cluster1
109,490,cluster1
110,98,cluster1
111,490,cluster1
112,490,cluster1
113,490,cluster1
114,98,cluster1
115,490,cluster1
116,490,cluster1
117,490,cluster1
118,98,cluster1
119,490,cluster1
120,490,cluster1
121,490,cluster1
122,88,cluster1
123,588,cluster1
124,2194,cluster0
125,2668,cluster0
126,1374,cluster0
127,1060,cluster1
128,2820,cluster0
129,2509,cluster0
130,2566,cluster0
131,2732,cluster0
132,958,cluster1
133,1869,cluster0
134,309,cluster1
135,490,cluster1
136,98,cluster1
137,578,cluster1
138,490,cluster1
139,98,cluster1
140,490,cluster1
141,490,cluster1
142,490,cluster1
143,98,cluster1
144,490,cluster1
145,490,cluster1
146,490,cluster1
147,98,cluster1
148,490,cluster1
149,490,cluster1
150,490,cluster1
151,98,cluster1
152,490,cluster1
153,490,cluster1
154,490,cluster1
155,98,cluster1
156,490,cluster1
157,490,cluster1
158,150,cluster1
159,490,cluster1
160,490,cluster1
161,98,cluster1
162,490,cluster1
163,490,cluster1
164,490,cluster1
165,98,cluster1
166,490,cluster1
167,490,cluster1
168,490,cluster1
169,98,cluster1
170,490,cluster1
171,490,cluster1
172,490,cluster1
173,98,cluster1
174,490,cluster1
175,490,cluster1
176,490,cluster1
177,490,cluster1
178,75,cluster1
179,98,cluster1
180,490,cluster1
181,490,cluster1
182,490,cluster1
183,98,cluster1
184,490,cluster1
185,490,cluster1
186,490,cluster1
187,98,cluster1
188,490,cluster1
189,490,cluster1
190,490,cluster1
191,322,cluster1
192,98,cluster1
193,490,cluster1
194,490,cluster1
195,490,cluster1
196,98,cluster1
197,490,cluster1
198,490,cluster1
199,490,cluster1
200,588,cluster1
201,98,cluster1
202,490,cluster1
203,490,cluster1
204,588,cluster1
205,490,cluster1
206,490,cluster1
207,588,cluster1
208,490,cluster1
209,490,cluster1
210,588,cluster1
211,490,cluster1
212,490,cluster1
213,588,cluster1
214,279,cluster1
215,465,cluster1
216,93,cluster1
217,1513,cluster0
218,93,cluster1
219,465,cluster1
220,186,cluster1
221,279,cluster1
222,676,cluster1
223,93,cluster1
224,465,cluster1
225,651,cluster1
226,676,cluster1
227,739,cluster1
228,1674,cluster0
229,1173,cluster1
230,930,cluster1
231,1234,cluster0
232,372,cluster1
233,372,cluster1
234,744,cluster1
235,930,cluster1
236,769,cluster1
237,1302,cluster0
238,1023,cluster1
239,490,cluster1
240,98,cluster1
241,490,cluster1
242,490,cluster1
243,490,cluster1
244,98,cluster1
245,490,cluster1
246,490,cluster1
247,490,cluster1
248,98,cluster1
249,490,cluster1
250,490,cluster1
251,490,cluster1
252,98,cluster1
253,490,cluster1
254,490,cluster1
255,490,cluster1
256,578,cluster1
257,98,cluster1
258,490,cluster1
259,372,cluster1
260,1023,cluster1
261,1513,cluster0
262,3534,cluster0
263,1581,cluster0
264,930,cluster1
265,651,cluster1
266,862,cluster1
267,651,cluster1
268,1116,cluster1
269,186,cluster1
270,1327,cluster0
271,490,cluster1
272,578,cluster1
273,490,cluster1
274,490,cluster1
275,578,cluster1
276,490,cluster1
277,490,cluster1
278,578,cluster1
279,490,cluster1
280,490,cluster1
281,490,cluster1
282,98,cluster1
283,490,cluster1
284,588,cluster1
