@relation 23.23.189.20_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,985,cluster0
1,774,cluster1
2,774,cluster1
3,975,cluster0
4,794,cluster1
5,985,cluster0
6,774,cluster1
7,774,cluster1
8,975,cluster0
9,985,cluster0
10,774,cluster1
11,774,cluster1
12,975,cluster0
13,794,cluster1
14,985,cluster0
15,774,cluster1
16,774,cluster1
17,975,cluster0
18,985,cluster0
19,774,cluster1
20,774,cluster1
21,975,cluster0
22,794,cluster1
23,985,cluster0
24,774,cluster1
25,774,cluster1
26,975,cluster0
27,794,cluster1
28,985,cluster0
29,774,cluster1
30,774,cluster1
31,975,cluster0
32,985,cluster0
33,774,cluster1
34,774,cluster1
35,975,cluster0
36,794,cluster1
37,985,cluster0
38,774,cluster1
39,774,cluster1
40,975,cluster0
41,985,cluster0
42,774,cluster1
43,774,cluster1
44,975,cluster0
45,794,cluster1
46,985,cluster0
47,774,cluster1
48,774,cluster1
49,975,cluster0
50,985,cluster0
51,774,cluster1
52,774,cluster1
53,975,cluster0
54,794,cluster1
55,985,cluster0
56,774,cluster1
57,774,cluster1
58,975,cluster0
59,985,cluster0
60,774,cluster1
61,774,cluster1
62,975,cluster0
63,794,cluster1
64,985,cluster0
65,774,cluster1
66,774,cluster1
67,975,cluster0
68,985,cluster0
69,774,cluster1
70,774,cluster1
71,975,cluster0
72,794,cluster1
73,985,cluster0
74,774,cluster1
75,774,cluster1
76,975,cluster0
77,794,cluster1
78,985,cluster0
79,774,cluster1
80,774,cluster1
81,975,cluster0
82,985,cluster0
83,774,cluster1
84,774,cluster1
85,975,cluster0
86,794,cluster1
87,985,cluster0
88,774,cluster1
89,774,cluster1
90,975,cluster0
91,985,cluster0
92,774,cluster1
93,774,cluster1
94,975,cluster0
95,794,cluster1
96,985,cluster0
97,774,cluster1
98,774,cluster1
99,975,cluster0
100,985,cluster0
101,774,cluster1
102,774,cluster1
103,975,cluster0
104,794,cluster1
105,985,cluster0
106,774,cluster1
107,774,cluster1
108,975,cluster0
109,985,cluster0
110,774,cluster1
111,774,cluster1
112,975,cluster0
113,794,cluster1
114,985,cluster0
115,774,cluster1
116,774,cluster1
117,975,cluster0
118,985,cluster0
119,774,cluster1
120,774,cluster1
121,975,cluster0
122,794,cluster1
123,985,cluster0
124,774,cluster1
125,774,cluster1
126,975,cluster0
127,794,cluster1
128,985,cluster0
129,774,cluster1
130,774,cluster1
131,975,cluster0
132,985,cluster0
133,774,cluster1
134,774,cluster1
135,975,cluster0
136,794,cluster1
137,985,cluster0
138,774,cluster1
139,774,cluster1
140,975,cluster0
141,985,cluster0
142,774,cluster1
143,774,cluster1
144,975,cluster0
145,794,cluster1
146,985,cluster0
147,774,cluster1
148,774,cluster1
149,975,cluster0
150,985,cluster0
151,774,cluster1
152,774,cluster1
153,975,cluster0
154,794,cluster1
155,985,cluster0
156,774,cluster1
157,774,cluster1
158,975,cluster0
159,985,cluster0
160,774,cluster1
161,774,cluster1
162,975,cluster0
163,794,cluster1
164,985,cluster0
165,774,cluster1
166,774,cluster1
167,975,cluster0
168,985,cluster0
169,774,cluster1
170,774,cluster1
171,975,cluster0
172,794,cluster1
173,985,cluster0
174,774,cluster1
175,774,cluster1
176,975,cluster0
177,794,cluster1
178,985,cluster0
179,774,cluster1
180,774,cluster1
181,975,cluster0
182,985,cluster0
183,774,cluster1
184,774,cluster1
185,975,cluster0
186,794,cluster1
187,985,cluster0
188,774,cluster1
189,774,cluster1
190,975,cluster0
191,985,cluster0
192,774,cluster1
193,774,cluster1
194,975,cluster0
195,794,cluster1
196,985,cluster0
197,774,cluster1
198,774,cluster1
199,975,cluster0
200,985,cluster0
201,774,cluster1
202,774,cluster1
203,975,cluster0
204,794,cluster1
205,985,cluster0
206,774,cluster1
207,774,cluster1
208,975,cluster0
209,985,cluster0
210,774,cluster1
211,774,cluster1
212,975,cluster0
213,794,cluster1
214,985,cluster0
215,774,cluster1
216,774,cluster1
217,975,cluster0
218,985,cluster0
219,774,cluster1
220,774,cluster1
221,975,cluster0
222,794,cluster1
223,985,cluster0
224,774,cluster1
225,774,cluster1
226,975,cluster0
227,794,cluster1
228,985,cluster0
229,774,cluster1
230,1166,cluster0
231,975,cluster0
232,985,cluster0
233,774,cluster1
234,774,cluster1
235,975,cluster0
236,794,cluster1
237,985,cluster0
238,774,cluster1
239,774,cluster1
240,975,cluster0
241,985,cluster0
242,774,cluster1
243,774,cluster1
244,975,cluster0
245,794,cluster1
246,985,cluster0
247,774,cluster1
248,774,cluster1
249,975,cluster0
250,985,cluster0
251,774,cluster1
252,774,cluster1
253,975,cluster0
254,794,cluster1
255,985,cluster0
256,774,cluster1
257,774,cluster1
258,975,cluster0
259,985,cluster0
260,774,cluster1
261,774,cluster1
262,975,cluster0
263,794,cluster1
264,985,cluster0
265,774,cluster1
266,774,cluster1
267,975,cluster0
268,985,cluster0
269,774,cluster1
270,774,cluster1
271,975,cluster0
272,794,cluster1
273,985,cluster0
274,774,cluster1
275,774,cluster1
276,975,cluster0
277,794,cluster1
278,985,cluster0
279,774,cluster1
280,774,cluster1
281,975,cluster0
282,985,cluster0
283,774,cluster1
284,774,cluster1
285,975,cluster0
286,794,cluster1
287,985,cluster0
288,774,cluster1
289,774,cluster1
290,975,cluster0
291,985,cluster0
292,774,cluster1
293,774,cluster1
294,975,cluster0
295,794,cluster1
296,985,cluster0
297,774,cluster1
298,774,cluster1
299,975,cluster0
300,985,cluster0
301,774,cluster1
302,774,cluster1
303,975,cluster0
304,794,cluster1
305,985,cluster0
306,774,cluster1
307,774,cluster1
308,975,cluster0
309,985,cluster0
310,774,cluster1
311,774,cluster1
312,975,cluster0
313,794,cluster1
314,985,cluster0
315,774,cluster1
316,774,cluster1
317,975,cluster0
318,985,cluster0
319,774,cluster1
320,774,cluster1
321,975,cluster0
322,794,cluster1
323,985,cluster0
324,774,cluster1
325,774,cluster1
326,975,cluster0
327,794,cluster1
328,985,cluster0
329,774,cluster1
330,774,cluster1
331,975,cluster0
332,985,cluster0
333,774,cluster1
334,774,cluster1
335,975,cluster0
336,794,cluster1
337,985,cluster0
338,774,cluster1
339,774,cluster1
340,975,cluster0
341,985,cluster0
342,774,cluster1
343,774,cluster1
344,975,cluster0
345,794,cluster1
346,985,cluster0
347,774,cluster1
348,774,cluster1
349,975,cluster0
350,985,cluster0
351,774,cluster1
352,774,cluster1
353,975,cluster0
354,794,cluster1
355,985,cluster0
356,774,cluster1
357,774,cluster1
358,975,cluster0
359,985,cluster0
360,774,cluster1
361,774,cluster1
362,975,cluster0
363,794,cluster1
364,985,cluster0
365,774,cluster1
366,774,cluster1
367,975,cluster0
368,985,cluster0
369,774,cluster1
370,774,cluster1
371,975,cluster0
