@relation 192.168.1.1_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,980,cluster0
1,98,cluster1
2,980,cluster0
3,980,cluster0
4,98,cluster1
5,980,cluster0
6,98,cluster1
7,980,cluster0
8,980,cluster0
9,980,cluster0
10,98,cluster1
11,980,cluster0
12,980,cluster0
13,980,cluster0
14,98,cluster1
15,980,cluster0
16,980,cluster0
17,980,cluster0
18,98,cluster1
19,980,cluster0
20,980,cluster0
21,980,cluster0
22,98,cluster1
23,980,cluster0
24,980,cluster0
25,980,cluster0
26,98,cluster1
27,980,cluster0
28,98,cluster1
29,980,cluster0
30,980,cluster0
31,980,cluster0
32,98,cluster1
33,980,cluster0
34,980,cluster0
35,980,cluster0
36,98,cluster1
37,980,cluster0
38,980,cluster0
39,980,cluster0
40,98,cluster1
41,980,cluster0
42,980,cluster0
43,980,cluster0
44,98,cluster1
45,980,cluster0
46,98,cluster1
47,980,cluster0
48,980,cluster0
49,98,cluster1
50,980,cluster0
51,980,cluster0
52,980,cluster0
53,98,cluster1
54,980,cluster0
55,980,cluster0
56,980,cluster0
57,98,cluster1
58,980,cluster0
59,980,cluster0
60,980,cluster0
61,98,cluster1
62,980,cluster0
63,980,cluster0
64,980,cluster0
65,980,cluster0
66,322,cluster1
67,150,cluster1
68,980,cluster0
69,980,cluster0
70,980,cluster0
71,98,cluster1
72,980,cluster0
73,980,cluster0
74,98,cluster1
75,980,cluster0
76,98,cluster1
77,980,cluster0
78,980,cluster0
79,980,cluster0
80,98,cluster1
81,980,cluster0
82,980,cluster0
83,980,cluster0
84,98,cluster1
85,980,cluster0
86,980,cluster0
87,98,cluster1
88,882,cluster0
89,1068,cluster0
90,1055,cluster0
91,980,cluster0
92,1068,cluster0
93,980,cluster0
94,980,cluster0
95,1068,cluster0
96,980,cluster0
97,980,cluster0
98,1068,cluster0
99,980,cluster0
100,980,cluster0
101,1068,cluster0
102,980,cluster0
103,980,cluster0
104,98,cluster1
105,980,cluster0
106,98,cluster1
107,980,cluster0
108,980,cluster0
109,980,cluster0
110,98,cluster1
111,980,cluster0
112,980,cluster0
113,980,cluster0
114,322,cluster1
115,98,cluster1
116,980,cluster0
117,980,cluster0
118,980,cluster0
119,98,cluster1
120,980,cluster0
121,980,cluster0
122,980,cluster0
123,1078,cluster0
124,980,cluster0
125,980,cluster0
126,88,cluster1
127,1078,cluster0
128,980,cluster0
129,980,cluster0
130,1078,cluster0
131,980,cluster0
132,980,cluster0
133,1078,cluster0
134,980,cluster0
135,980,cluster0
136,1078,cluster0
137,980,cluster0
138,980,cluster0
139,1078,cluster0
140,980,cluster0
141,980,cluster0
142,980,cluster0
143,98,cluster1
144,1055,cluster0
145,980,cluster0
146,980,cluster0
147,98,cluster1
148,980,cluster0
149,980,cluster0
150,980,cluster0
151,98,cluster1
152,980,cluster0
153,980,cluster0
154,980,cluster0
155,98,cluster1
156,980,cluster0
157,980,cluster0
158,980,cluster0
159,98,cluster1
160,980,cluster0
161,1960,cluster0
162,98,cluster1
163,980,cluster0
164,98,cluster1
165,980,cluster0
166,980,cluster0
167,980,cluster0
168,98,cluster1
169,980,cluster0
170,980,cluster0
171,882,cluster0
172,1068,cluster0
173,980,cluster0
174,980,cluster0
175,1068,cluster0
176,980,cluster0
177,980,cluster0
178,1143,cluster0
179,980,cluster0
180,980,cluster0
181,1068,cluster0
182,980,cluster0
183,980,cluster0
184,1068,cluster0
185,980,cluster0
186,980,cluster0
187,1068,cluster0
188,980,cluster0
189,980,cluster0
190,1068,cluster0
191,980,cluster0
192,980,cluster0
193,98,cluster1
194,980,cluster0
195,98,cluster1
196,980,cluster0
197,980,cluster0
198,980,cluster0
199,98,cluster1
200,98,cluster1
201,882,cluster0
202,980,cluster0
203,980,cluster0
204,322,cluster1
205,98,cluster1
206,980,cluster0
207,980,cluster0
208,980,cluster0
209,98,cluster1
210,980,cluster0
211,980,cluster0
212,98,cluster1
213,882,cluster0
214,98,cluster1
215,98,cluster1
216,882,cluster0
217,980,cluster0
218,980,cluster0
219,98,cluster1
220,980,cluster0
221,98,cluster1
222,980,cluster0
223,980,cluster0
224,98,cluster1
225,980,cluster0
226,980,cluster0
227,980,cluster0
228,98,cluster1
229,980,cluster0
230,980,cluster0
231,980,cluster0
232,98,cluster1
233,980,cluster0
234,980,cluster0
235,980,cluster0
236,98,cluster1
237,980,cluster0
238,980,cluster0
239,980,cluster0
240,1143,cluster0
241,980,cluster0
242,980,cluster0
243,1068,cluster0
244,980,cluster0
245,980,cluster0
246,1068,cluster0
247,980,cluster0
248,980,cluster0
249,1068,cluster0
250,980,cluster0
251,980,cluster0
252,1068,cluster0
253,980,cluster0
254,980,cluster0
255,98,cluster1
256,980,cluster0
257,98,cluster1
258,980,cluster0
259,980,cluster0
260,980,cluster0
261,98,cluster1
262,980,cluster0
263,980,cluster0
264,980,cluster0
265,98,cluster1
266,980,cluster0
267,980,cluster0
268,980,cluster0
269,98,cluster1
270,980,cluster0
271,980,cluster0
272,980,cluster0
273,98,cluster1
274,980,cluster0
275,980,cluster0
276,98,cluster1
277,980,cluster0
278,980,cluster0
279,98,cluster1
280,980,cluster0
281,980,cluster0
282,980,cluster0
283,98,cluster1
284,980,cluster0
285,980,cluster0
286,980,cluster0
287,98,cluster1
288,980,cluster0
289,980,cluster0
290,980,cluster0
291,98,cluster1
292,980,cluster0
293,980,cluster0
294,980,cluster0
295,176,cluster1
296,980,cluster0
297,980,cluster0
298,980,cluster0
299,98,cluster1
300,980,cluster0
301,980,cluster0
302,980,cluster0
303,322,cluster1
304,98,cluster1
305,980,cluster0
306,980,cluster0
307,980,cluster0
308,98,cluster1
309,980,cluster0
310,980,cluster0
311,980,cluster0
312,98,cluster1
313,1960,cluster0
314,98,cluster1
315,980,cluster0
316,980,cluster0
317,98,cluster1
318,980,cluster0
319,980,cluster0
320,980,cluster0
321,98,cluster1
322,980,cluster0
323,980,cluster0
324,980,cluster0
325,98,cluster1
326,980,cluster0
327,980,cluster0
328,980,cluster0
329,98,cluster1
330,980,cluster0
331,980,cluster0
332,980,cluster0
333,980,cluster0
334,75,cluster1
335,98,cluster1
336,980,cluster0
337,980,cluster0
338,980,cluster0
339,98,cluster1
340,980,cluster0
341,980,cluster0
342,980,cluster0
343,98,cluster1
344,980,cluster0
345,980,cluster0
346,980,cluster0
347,98,cluster1
348,980,cluster0
349,980,cluster0
350,980,cluster0
351,98,cluster1
352,980,cluster0
353,980,cluster0
354,98,cluster1
355,980,cluster0
356,98,cluster1
357,980,cluster0
358,980,cluster0
359,980,cluster0
360,98,cluster1
361,980,cluster0
362,980,cluster0
363,980,cluster0
364,98,cluster1
365,980,cluster0
366,980,cluster0
367,980,cluster0
368,98,cluster1
369,980,cluster0
370,980,cluster0
371,980,cluster0
372,98,cluster1
373,980,cluster0
374,980,cluster0
375,98,cluster1
376,980,cluster0
377,98,cluster1
378,980,cluster0
379,980,cluster0
380,980,cluster0
381,98,cluster1
382,980,cluster0
383,980,cluster0
384,980,cluster0
385,98,cluster1
386,980,cluster0
387,980,cluster0
388,980,cluster0
389,98,cluster1
390,980,cluster0
