@relation 54.239.29.231_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,339,cluster1
1,406,cluster1
2,339,cluster1
3,339,cluster1
4,339,cluster1
5,393,cluster1
6,339,cluster1
7,339,cluster1
8,501,cluster1
9,339,cluster1
10,339,cluster1
11,339,cluster1
12,339,cluster1
13,586,cluster1
14,5650,cluster0
15,339,cluster1
16,1264,cluster1
17,339,cluster1
18,339,cluster1
19,339,cluster1
20,339,cluster1
21,339,cluster1
22,339,cluster1
23,339,cluster1
24,339,cluster1
25,406,cluster1
26,339,cluster1
27,339,cluster1
28,339,cluster1
29,339,cluster1
30,339,cluster1
31,339,cluster1
32,339,cluster1
33,434,cluster1
34,339,cluster1
35,406,cluster1
36,339,cluster1
37,339,cluster1
38,339,cluster1
39,339,cluster1
40,339,cluster1
41,339,cluster1
42,339,cluster1
43,339,cluster1
44,339,cluster1
45,339,cluster1
46,339,cluster1
47,406,cluster1
48,339,cluster1
49,529,cluster1
50,339,cluster1
51,627,cluster1
52,339,cluster1
53,406,cluster1
54,339,cluster1
55,339,cluster1
56,339,cluster1
57,339,cluster1
58,406,cluster1
59,339,cluster1
60,339,cluster1
61,339,cluster1
62,406,cluster1
63,529,cluster1
64,339,cluster1
65,339,cluster1
66,339,cluster1
67,339,cluster1
68,339,cluster1
69,434,cluster1
70,406,cluster1
71,339,cluster1
72,434,cluster1
73,339,cluster1
74,339,cluster1
75,339,cluster1
76,393,cluster1
77,339,cluster1
78,339,cluster1
79,339,cluster1
80,406,cluster1
81,586,cluster1
82,5658,cluster0
83,339,cluster1
84,339,cluster1
85,339,cluster1
86,339,cluster1
87,339,cluster1
88,339,cluster1
89,406,cluster1
90,339,cluster1
91,339,cluster1
92,339,cluster1
93,1047,cluster1
94,406,cluster1
95,339,cluster1
96,339,cluster1
97,339,cluster1
98,339,cluster1
99,339,cluster1
100,339,cluster1
101,339,cluster1
102,339,cluster1
103,339,cluster1
104,339,cluster1
105,339,cluster1
106,560,cluster1
107,339,cluster1
108,434,cluster1
109,339,cluster1
110,339,cluster1
111,339,cluster1
112,339,cluster1
113,339,cluster1
114,339,cluster1
115,339,cluster1
116,339,cluster1
117,339,cluster1
118,406,cluster1
119,339,cluster1
120,339,cluster1
121,339,cluster1
122,339,cluster1
123,339,cluster1
124,339,cluster1
125,339,cluster1
126,339,cluster1
127,339,cluster1
128,339,cluster1
129,434,cluster1
130,339,cluster1
131,339,cluster1
132,339,cluster1
133,339,cluster1
134,339,cluster1
135,339,cluster1
136,339,cluster1
137,434,cluster1
138,339,cluster1
139,434,cluster1
140,434,cluster1
141,501,cluster1
142,339,cluster1
143,339,cluster1
144,339,cluster1
145,339,cluster1
146,339,cluster1
147,339,cluster1
148,339,cluster1
149,339,cluster1
150,339,cluster1
151,406,cluster1
152,339,cluster1
153,244,cluster1
154,406,cluster1
155,434,cluster1
156,5862,cluster0
157,257,cluster1
158,257,cluster1
159,257,cluster1
160,257,cluster1
161,257,cluster1
162,257,cluster1
163,257,cluster1
164,257,cluster1
165,257,cluster1
166,1333,cluster1
167,257,cluster1
168,257,cluster1
169,257,cluster1
170,257,cluster1
171,257,cluster1
172,393,cluster1
173,406,cluster1
174,257,cluster1
175,257,cluster1
176,257,cluster1
177,257,cluster1
178,257,cluster1
179,257,cluster1
180,501,cluster1
181,257,cluster1
182,257,cluster1
183,257,cluster1
184,393,cluster1
185,257,cluster1
186,257,cluster1
187,501,cluster1
188,257,cluster1
189,406,cluster1
190,257,cluster1
191,257,cluster1
192,257,cluster1
193,257,cluster1
194,501,cluster1
195,257,cluster1
196,257,cluster1
197,393,cluster1
198,257,cluster1
199,257,cluster1
200,257,cluster1
201,393,cluster1
202,257,cluster1
203,257,cluster1
204,257,cluster1
205,257,cluster1
206,257,cluster1
207,257,cluster1
208,257,cluster1
209,406,cluster1
210,257,cluster1
211,257,cluster1
212,257,cluster1
213,257,cluster1
214,257,cluster1
215,257,cluster1
216,257,cluster1
217,257,cluster1
218,257,cluster1
219,257,cluster1
220,257,cluster1
221,257,cluster1
222,257,cluster1
223,406,cluster1
224,257,cluster1
225,257,cluster1
226,465,cluster1
227,393,cluster1
228,393,cluster1
229,6117,cluster0
230,339,cluster1
231,339,cluster1
232,434,cluster1
233,434,cluster1
234,434,cluster1
235,1307,cluster1
236,339,cluster1
237,339,cluster1
238,339,cluster1
239,339,cluster1
240,406,cluster1
241,339,cluster1
242,434,cluster1
243,406,cluster1
244,339,cluster1
245,339,cluster1
246,434,cluster1
247,339,cluster1
248,434,cluster1
249,339,cluster1
250,434,cluster1
251,339,cluster1
252,339,cluster1
253,339,cluster1
254,339,cluster1
255,339,cluster1
256,339,cluster1
257,339,cluster1
258,339,cluster1
259,339,cluster1
260,339,cluster1
261,339,cluster1
262,434,cluster1
263,339,cluster1
264,339,cluster1
265,339,cluster1
266,339,cluster1
267,339,cluster1
268,339,cluster1
269,339,cluster1
270,339,cluster1
271,339,cluster1
272,406,cluster1
273,434,cluster1
274,339,cluster1
275,339,cluster1
276,339,cluster1
277,339,cluster1
278,434,cluster1
279,339,cluster1
280,501,cluster1
281,339,cluster1
282,339,cluster1
283,339,cluster1
284,339,cluster1
285,406,cluster1
286,558,cluster1
287,339,cluster1
288,339,cluster1
289,339,cluster1
290,339,cluster1
291,339,cluster1
292,339,cluster1
293,339,cluster1
294,339,cluster1
295,393,cluster1
296,339,cluster1
297,339,cluster1
298,339,cluster1
299,339,cluster1
300,339,cluster1
301,542,cluster1
302,339,cluster1
303,339,cluster1
304,339,cluster1
305,5940,cluster0
306,1115,cluster1
307,257,cluster1
308,257,cluster1
309,257,cluster1
310,257,cluster1
311,393,cluster1
312,406,cluster1
313,393,cluster1
314,257,cluster1
315,257,cluster1
316,257,cluster1
317,393,cluster1
318,257,cluster1
319,257,cluster1
320,257,cluster1
321,406,cluster1
322,257,cluster1
323,406,cluster1
324,257,cluster1
325,257,cluster1
326,257,cluster1
327,257,cluster1
328,257,cluster1
329,257,cluster1
330,257,cluster1
331,257,cluster1
332,257,cluster1
333,257,cluster1
334,257,cluster1
335,257,cluster1
336,257,cluster1
337,257,cluster1
338,257,cluster1
339,406,cluster1
340,257,cluster1
341,257,cluster1
342,257,cluster1
343,257,cluster1
344,257,cluster1
345,257,cluster1
346,709,cluster1
347,393,cluster1
348,257,cluster1
349,406,cluster1
350,257,cluster1
351,406,cluster1
352,257,cluster1
353,257,cluster1
354,257,cluster1
355,257,cluster1
356,257,cluster1
357,257,cluster1
358,257,cluster1
359,257,cluster1
360,257,cluster1
361,257,cluster1
362,257,cluster1
363,257,cluster1
364,257,cluster1
365,257,cluster1
366,311,cluster1
367,257,cluster1
368,393,cluster1
