@relation 176.32.100.25_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,5712,cluster0
1,257,cluster1
2,257,cluster1
3,1116,cluster1
4,257,cluster1
5,257,cluster1
6,257,cluster1
7,257,cluster1
8,257,cluster1
9,257,cluster1
10,257,cluster1
11,257,cluster1
12,488,cluster1
13,257,cluster1
14,257,cluster1
15,257,cluster1
16,257,cluster1
17,257,cluster1
18,406,cluster1
19,257,cluster1
20,257,cluster1
21,406,cluster1
22,257,cluster1
23,257,cluster1
24,257,cluster1
25,257,cluster1
26,406,cluster1
27,257,cluster1
28,406,cluster1
29,257,cluster1
30,257,cluster1
31,257,cluster1
32,257,cluster1
33,257,cluster1
34,257,cluster1
35,257,cluster1
36,257,cluster1
37,476,cluster1
38,257,cluster1
39,257,cluster1
40,257,cluster1
41,393,cluster1
42,257,cluster1
43,257,cluster1
44,257,cluster1
45,257,cluster1
46,257,cluster1
47,257,cluster1
48,257,cluster1
49,257,cluster1
50,257,cluster1
51,406,cluster1
52,257,cluster1
53,257,cluster1
54,257,cluster1
55,257,cluster1
56,257,cluster1
57,257,cluster1
58,257,cluster1
59,257,cluster1
60,257,cluster1
61,257,cluster1
62,257,cluster1
63,311,cluster1
64,257,cluster1
65,393,cluster1
66,406,cluster1
67,393,cluster1
68,257,cluster1
69,257,cluster1
70,393,cluster1
71,216,cluster1
72,5388,cluster0
73,434,cluster1
74,406,cluster1
75,339,cluster1
76,339,cluster1
77,339,cluster1
78,339,cluster1
79,339,cluster1
80,339,cluster1
81,339,cluster1
82,339,cluster1
83,339,cluster1
84,339,cluster1
85,339,cluster1
86,1195,cluster1
87,339,cluster1
88,339,cluster1
89,339,cluster1
90,406,cluster1
91,434,cluster1
92,339,cluster1
93,339,cluster1
94,339,cluster1
95,339,cluster1
96,339,cluster1
97,434,cluster1
98,339,cluster1
99,339,cluster1
100,339,cluster1
101,406,cluster1
102,561,cluster1
103,434,cluster1
104,406,cluster1
105,339,cluster1
106,406,cluster1
107,339,cluster1
108,339,cluster1
109,339,cluster1
110,339,cluster1
111,406,cluster1
112,339,cluster1
113,339,cluster1
114,339,cluster1
115,339,cluster1
116,339,cluster1
117,339,cluster1
118,434,cluster1
119,406,cluster1
120,339,cluster1
121,339,cluster1
122,339,cluster1
123,339,cluster1
124,501,cluster1
125,339,cluster1
126,339,cluster1
127,339,cluster1
128,339,cluster1
129,339,cluster1
130,434,cluster1
131,406,cluster1
132,339,cluster1
133,339,cluster1
134,406,cluster1
135,434,cluster1
136,339,cluster1
137,339,cluster1
138,339,cluster1
139,406,cluster1
140,339,cluster1
141,406,cluster1
142,339,cluster1
143,339,cluster1
144,434,cluster1
145,406,cluster1
146,393,cluster1
147,339,cluster1
148,339,cluster1
149,406,cluster1
150,339,cluster1
151,339,cluster1
152,542,cluster1
153,437,cluster1
154,5644,cluster0
155,339,cluster1
156,339,cluster1
157,339,cluster1
158,434,cluster1
159,1310,cluster1
160,339,cluster1
161,434,cluster1
162,339,cluster1
163,339,cluster1
164,339,cluster1
165,501,cluster1
166,339,cluster1
167,406,cluster1
168,339,cluster1
169,339,cluster1
170,339,cluster1
171,339,cluster1
172,406,cluster1
173,339,cluster1
174,339,cluster1
175,339,cluster1
176,339,cluster1
177,339,cluster1
178,339,cluster1
179,339,cluster1
180,339,cluster1
181,339,cluster1
182,339,cluster1
183,339,cluster1
184,339,cluster1
185,339,cluster1
186,339,cluster1
187,434,cluster1
188,339,cluster1
189,339,cluster1
190,339,cluster1
191,339,cluster1
192,339,cluster1
193,406,cluster1
194,339,cluster1
195,406,cluster1
196,339,cluster1
197,339,cluster1
198,339,cluster1
199,339,cluster1
200,339,cluster1
201,339,cluster1
202,339,cluster1
203,339,cluster1
204,559,cluster1
205,339,cluster1
206,339,cluster1
207,339,cluster1
208,339,cluster1
209,339,cluster1
210,434,cluster1
211,501,cluster1
212,434,cluster1
213,339,cluster1
214,434,cluster1
215,434,cluster1
216,434,cluster1
217,339,cluster1
218,339,cluster1
219,352,cluster1
220,339,cluster1
221,406,cluster1
222,339,cluster1
223,339,cluster1
224,339,cluster1
225,339,cluster1
226,501,cluster1
227,586,cluster1
228,5618,cluster0
229,339,cluster1
230,339,cluster1
231,339,cluster1
232,339,cluster1
233,339,cluster1
234,339,cluster1
235,1041,cluster1
236,501,cluster1
237,339,cluster1
238,434,cluster1
239,339,cluster1
240,339,cluster1
241,339,cluster1
242,339,cluster1
243,339,cluster1
244,339,cluster1
245,339,cluster1
246,339,cluster1
247,339,cluster1
248,339,cluster1
249,339,cluster1
250,339,cluster1
251,406,cluster1
252,339,cluster1
253,339,cluster1
254,339,cluster1
255,339,cluster1
256,339,cluster1
257,339,cluster1
258,339,cluster1
259,339,cluster1
260,339,cluster1
261,339,cluster1
262,339,cluster1
263,339,cluster1
264,339,cluster1
265,561,cluster1
266,339,cluster1
267,339,cluster1
268,434,cluster1
269,339,cluster1
270,339,cluster1
271,339,cluster1
272,339,cluster1
273,339,cluster1
274,339,cluster1
275,339,cluster1
276,339,cluster1
277,339,cluster1
278,339,cluster1
279,406,cluster1
280,339,cluster1
281,434,cluster1
282,339,cluster1
283,339,cluster1
284,339,cluster1
285,406,cluster1
286,339,cluster1
287,406,cluster1
288,339,cluster1
289,339,cluster1
290,406,cluster1
291,339,cluster1
292,339,cluster1
293,339,cluster1
294,339,cluster1
295,244,cluster1
296,406,cluster1
297,339,cluster1
298,437,cluster1
299,5611,cluster0
300,339,cluster1
301,339,cluster1
302,1197,cluster1
303,339,cluster1
304,339,cluster1
305,339,cluster1
306,339,cluster1
307,339,cluster1
308,339,cluster1
309,339,cluster1
310,434,cluster1
311,434,cluster1
312,339,cluster1
