@relation 216.58.199.238_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0}

@data
319,8098,cluster0
320,4067,cluster0
321,8015,cluster0
322,4059,cluster0
323,8284,cluster0
324,4045,cluster0
325,8678,cluster0
326,4041,cluster0
327,8036,cluster0
328,5350,cluster0
329,132,cluster0
330,4111,cluster0
331,8339,cluster0
332,132,cluster0
333,4039,cluster0
334,8034,cluster0
335,4040,cluster0
336,7558,cluster0
337,4037,cluster0
338,7917,cluster0
339,4052,cluster0
340,7913,cluster0
341,4052,cluster0
342,7587,cluster0
343,4070,cluster0
344,13393,cluster0
345,66,cluster0
346,132,cluster0
347,66,cluster0
348,4259,cluster0
349,8569,cluster0
350,4150,cluster0
351,7916,cluster0
352,4127,cluster0
353,7805,cluster0
354,4147,cluster0
355,8043,cluster0
356,4044,cluster0
357,8112,cluster0
358,4044,cluster0
359,13003,cluster0
360,66,cluster0
361,132,cluster0
362,66,cluster0
363,198,cluster0
364,3596,cluster0
365,7717,cluster0
366,4067,cluster0
367,7978,cluster0
368,4068,cluster0
369,7966,cluster0
370,5441,cluster0
371,2861,cluster0
372,66,cluster0
373,66,cluster0
374,198,cluster0
375,4234,cluster0
376,8079,cluster0
377,7828,cluster0
378,4072,cluster0
379,7901,cluster0
380,4061,cluster0
381,7620,cluster0
382,4070,cluster0
383,4070,cluster0
384,4070,cluster0
385,35079,cluster0
386,4135,cluster0
387,8026,cluster0
388,4224,cluster0
389,3790,cluster0
390,8082,cluster0
391,5460,cluster0
392,3947,cluster0
393,7463,cluster0
394,132,cluster0
395,132,cluster0
396,7764,cluster0
397,3791,cluster0
398,8543,cluster0
399,3947,cluster0
400,7746,cluster0
401,3796,cluster0
402,8273,cluster0
403,3790,cluster0
404,7678,cluster0
405,5417,cluster0
406,66,cluster0
407,3931,cluster0
408,7207,cluster0
409,6065,cluster0
410,4676,cluster0
411,678,cluster0
412,11713,cluster0
413,4085,cluster0
414,7732,cluster0
415,4000,cluster0
416,7767,cluster0
417,4039,cluster0
418,7872,cluster0
419,4051,cluster0
420,8112,cluster0
421,3976,cluster0
422,5086,cluster0
423,7504,cluster0
424,4068,cluster0
425,66,cluster0
426,132,cluster0
427,7721,cluster0
428,4024,cluster0
429,8245,cluster0
430,4028,cluster0
431,7511,cluster0
432,4021,cluster0
433,7913,cluster0
434,3984,cluster0
435,7861,cluster0
436,3915,cluster0
437,7533,cluster0
438,4016,cluster0
439,5483,cluster0
440,7624,cluster0
441,4026,cluster0
442,66,cluster0
443,132,cluster0
444,882,cluster0
445,7769,cluster0
446,4054,cluster0
447,7906,cluster0
448,3992,cluster0
449,5197,cluster0
450,8419,cluster0
451,3803,cluster0
452,7756,cluster0
453,9206,cluster0
454,66,cluster0
455,132,cluster0
456,66,cluster0
457,7706,cluster0
458,4037,cluster0
459,7670,cluster0
460,3929,cluster0
461,7979,cluster0
462,3893,cluster0
463,7566,cluster0
464,4046,cluster0
465,7963,cluster0
466,4030,cluster0
467,7534,cluster0
468,3815,cluster0
