@relation 172.217.161.195_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,965,cluster1
1,3343,cluster1
2,3343,cluster1
3,3343,cluster1
4,3343,cluster1
5,3343,cluster1
6,3343,cluster1
7,3343,cluster1
8,3343,cluster1
9,3343,cluster1
10,3497,cluster1
11,3343,cluster1
12,3343,cluster1
13,3343,cluster1
14,3343,cluster1
15,3343,cluster1
16,4875,cluster0
17,3343,cluster1
18,3430,cluster1
19,3343,cluster1
20,3413,cluster1
21,3343,cluster1
22,3343,cluster1
23,3343,cluster1
24,3343,cluster1
25,3343,cluster1
26,3343,cluster1
27,3343,cluster1
28,3343,cluster1
29,3343,cluster1
30,3343,cluster1
31,3343,cluster1
32,3343,cluster1
33,3343,cluster1
34,3343,cluster1
35,3343,cluster1
36,3343,cluster1
37,3430,cluster1
38,3343,cluster1
39,3343,cluster1
40,3343,cluster1
41,3343,cluster1
42,3343,cluster1
43,3343,cluster1
44,3343,cluster1
45,3343,cluster1
46,3343,cluster1
47,3343,cluster1
48,3343,cluster1
49,3343,cluster1
50,3343,cluster1
51,3343,cluster1
52,3343,cluster1
53,3343,cluster1
54,3343,cluster1
55,3343,cluster1
56,3343,cluster1
57,3343,cluster1
58,3343,cluster1
59,3343,cluster1
60,3343,cluster1
61,3343,cluster1
62,3343,cluster1
63,3343,cluster1
64,3343,cluster1
65,3343,cluster1
66,3343,cluster1
67,3343,cluster1
68,3343,cluster1
69,4665,cluster0
70,4735,cluster0
71,3343,cluster1
72,3343,cluster1
73,4735,cluster0
74,3343,cluster1
75,3343,cluster1
76,3343,cluster1
77,3343,cluster1
78,3343,cluster1
79,3343,cluster1
80,3343,cluster1
81,6065,cluster0
82,3343,cluster1
83,3343,cluster1
84,3343,cluster1
85,3343,cluster1
86,3343,cluster1
87,3343,cluster1
88,3343,cluster1
89,3343,cluster1
90,3343,cluster1
91,3343,cluster1
92,3343,cluster1
93,3343,cluster1
94,3343,cluster1
95,3343,cluster1
96,3343,cluster1
97,3343,cluster1
98,3343,cluster1
99,3343,cluster1
100,3343,cluster1
101,3343,cluster1
102,3343,cluster1
103,3343,cluster1
104,3343,cluster1
105,3343,cluster1
106,3343,cluster1
107,3343,cluster1
108,3343,cluster1
109,3343,cluster1
110,3343,cluster1
111,3343,cluster1
112,3343,cluster1
113,3343,cluster1
114,3343,cluster1
115,3343,cluster1
116,4741,cluster0
117,3343,cluster1
118,3343,cluster1
119,5137,cluster0
120,5207,cluster0
121,3343,cluster1
122,3343,cluster1
123,3343,cluster1
124,3343,cluster1
125,4805,cluster0
126,3343,cluster1
127,5137,cluster0
128,3343,cluster1
129,3343,cluster1
130,3343,cluster1
131,5207,cluster0
132,5137,cluster0
133,3343,cluster1
134,3416,cluster1
135,3343,cluster1
136,3413,cluster1
137,3343,cluster1
138,3343,cluster1
139,3343,cluster1
140,3343,cluster1
141,3343,cluster1
142,3343,cluster1
143,3343,cluster1
144,3343,cluster1
145,5430,cluster0
146,3343,cluster1
147,3343,cluster1
148,3343,cluster1
149,3343,cluster1
150,3343,cluster1
151,3343,cluster1
152,3343,cluster1
153,3343,cluster1
154,3343,cluster1
155,3343,cluster1
156,3343,cluster1
157,3343,cluster1
158,3343,cluster1
159,3413,cluster1
160,4805,cluster0
161,3416,cluster1
162,3343,cluster1
163,3343,cluster1
164,3343,cluster1
165,3343,cluster1
166,3343,cluster1
167,3343,cluster1
168,3343,cluster1
169,3343,cluster1
170,3497,cluster1
171,3343,cluster1
172,3343,cluster1
173,5137,cluster0
174,3343,cluster1
175,3343,cluster1
176,3343,cluster1
177,3343,cluster1
178,3343,cluster1
179,3343,cluster1
180,3343,cluster1
181,3343,cluster1
182,3343,cluster1
183,3343,cluster1
184,3343,cluster1
185,3343,cluster1
186,3343,cluster1
187,3343,cluster1
188,3343,cluster1
189,4735,cluster0
190,3413,cluster1
191,3343,cluster1
192,3416,cluster1
193,3343,cluster1
194,3346,cluster1
195,5137,cluster0
196,5207,cluster0
197,5207,cluster0
198,4735,cluster0
199,3343,cluster1
200,3413,cluster1
201,4735,cluster0
202,3343,cluster1
203,3503,cluster1
204,3343,cluster1
205,3343,cluster1
206,3343,cluster1
207,3421,cluster1
208,3343,cluster1
209,4152,cluster1
210,3343,cluster1
211,4741,cluster0
212,3343,cluster1
213,3413,cluster1
214,3343,cluster1
215,3343,cluster1
216,3413,cluster1
217,3343,cluster1
218,3343,cluster1
219,3413,cluster1
220,3346,cluster1
221,5137,cluster0
222,5137,cluster0
223,4805,cluster0
224,3343,cluster1
225,3343,cluster1
226,3343,cluster1
227,3343,cluster1
228,4735,cluster0
229,3190,cluster1
230,248,cluster1
231,5215,cluster0
232,3578,cluster1
233,5143,cluster0
234,3343,cluster1
235,3343,cluster1
236,3343,cluster1
237,5137,cluster0
238,3343,cluster1
239,3413,cluster1
240,3343,cluster1
241,3343,cluster1
242,3343,cluster1
243,4735,cluster0
244,3413,cluster1
245,3343,cluster1
246,3343,cluster1
247,3343,cluster1
248,3413,cluster1
249,3343,cluster1
250,5143,cluster0
251,3343,cluster1
252,3343,cluster1
253,3343,cluster1
254,3343,cluster1
255,3343,cluster1
256,3343,cluster1
257,3343,cluster1
258,3343,cluster1
259,3343,cluster1
260,3343,cluster1
261,3343,cluster1
262,3343,cluster1
263,3343,cluster1
264,3343,cluster1
265,3343,cluster1
266,3343,cluster1
267,3343,cluster1
268,3343,cluster1
269,3343,cluster1
270,3343,cluster1
271,3343,cluster1
272,3343,cluster1
273,3343,cluster1
274,3343,cluster1
275,3343,cluster1
