@relation 8.8.8.8_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0}

@data
0,319,cluster0
1,531,cluster0
2,442,cluster0
3,442,cluster0
4,448,cluster0
5,597,cluster0
6,527,cluster0
7,448,cluster0
8,448,cluster0
9,448,cluster0
10,448,cluster0
11,355,cluster0
12,222,cluster0
13,442,cluster0
14,442,cluster0
15,442,cluster0
16,531,cluster0
17,442,cluster0
18,442,cluster0
19,442,cluster0
20,442,cluster0
21,685,cluster0
22,442,cluster0
23,442,cluster0
24,442,cluster0
25,448,cluster0
26,527,cluster0
27,448,cluster0
28,448,cluster0
29,448,cluster0
30,448,cluster0
31,178,cluster0
32,592,cluster0
33,442,cluster0
34,764,cluster0
35,442,cluster0
36,531,cluster0
37,442,cluster0
38,442,cluster0
39,442,cluster0
40,442,cluster0
41,531,cluster0
42,442,cluster0
43,442,cluster0
44,442,cluster0
45,442,cluster0
46,517,cluster0
47,597,cluster0
48,448,cluster0
49,448,cluster0
50,448,cluster0
51,229,cluster0
52,442,cluster0
53,442,cluster0
54,442,cluster0
55,442,cluster0
56,521,cluster0
57,442,cluster0
58,442,cluster0
59,592,cluster0
60,442,cluster0
61,521,cluster0
62,442,cluster0
63,442,cluster0
64,771,cluster0
65,442,cluster0
66,517,cluster0
67,517,cluster0
68,448,cluster0
69,448,cluster0
70,89,cluster0
71,521,cluster0
72,521,cluster0
73,442,cluster0
74,442,cluster0
75,442,cluster0
76,671,cluster0
77,521,cluster0
78,442,cluster0
79,442,cluster0
80,442,cluster0
81,521,cluster0
82,521,cluster0
83,442,cluster0
84,442,cluster0
85,442,cluster0
86,502,cluster0
87,517,cluster0
88,448,cluster0
89,448,cluster0
90,448,cluster0
91,158,cluster0
92,671,cluster0
93,442,cluster0
94,442,cluster0
95,442,cluster0
96,521,cluster0
97,521,cluster0
98,442,cluster0
99,442,cluster0
100,771,cluster0
101,673,cluster0
102,521,cluster0
103,442,cluster0
104,442,cluster0
105,442,cluster0
106,502,cluster0
107,428,cluster0
108,442,cluster0
109,448,cluster0
110,584,cluster0
111,158,cluster0
112,521,cluster0
113,442,cluster0
114,442,cluster0
115,442,cluster0
116,521,cluster0
117,521,cluster0
118,442,cluster0
119,442,cluster0
120,442,cluster0
121,521,cluster0
122,685,cluster0
123,442,cluster0
124,442,cluster0
125,442,cluster0
126,158,cluster0
127,1633,cluster0
128,448,cluster0
129,448,cluster0
130,448,cluster0
131,448,cluster0
132,527,cluster0
133,527,cluster0
134,448,cluster0
135,448,cluster0
136,448,cluster0
137,1380,cluster0
138,448,cluster0
139,448,cluster0
140,448,cluster0
141,448,cluster0
142,527,cluster0
143,448,cluster0
144,448,cluster0
145,253,cluster0
146,442,cluster0
147,531,cluster0
148,442,cluster0
149,457,cluster0
150,448,cluster0
151,448,cluster0
152,527,cluster0
153,448,cluster0
154,448,cluster0
155,448,cluster0
156,448,cluster0
157,676,cluster0
158,448,cluster0
159,448,cluster0
160,448,cluster0
161,770,cluster0
162,527,cluster0
163,448,cluster0
164,178,cluster0
165,344,cluster0
166,442,cluster0
167,531,cluster0
168,569,cluster0
169,442,cluster0
170,457,cluster0
171,448,cluster0
172,517,cluster0
173,448,cluster0
174,448,cluster0
175,448,cluster0
176,448,cluster0
177,517,cluster0
178,448,cluster0
179,448,cluster0
180,448,cluster0
181,448,cluster0
182,517,cluster0
183,448,cluster0
184,89,cluster0
185,606,cluster0
186,442,cluster0
187,521,cluster0
188,442,cluster0
189,442,cluster0
190,442,cluster0
191,442,cluster0
192,831,cluster0
193,448,cluster0
194,448,cluster0
195,448,cluster0
196,598,cluster0
197,517,cluster0
198,448,cluster0
199,448,cluster0
200,448,cluster0
201,448,cluster0
202,517,cluster0
203,448,cluster0
204,89,cluster0
205,442,cluster0
206,442,cluster0
207,521,cluster0
208,442,cluster0
209,606,cluster0
210,442,cluster0
211,442,cluster0
212,502,cluster0
213,448,cluster0
214,448,cluster0
215,448,cluster0
216,448,cluster0
217,517,cluster0
218,448,cluster0
219,597,cluster0
220,448,cluster0
221,448,cluster0
222,517,cluster0
223,448,cluster0
224,89,cluster0
225,442,cluster0
226,442,cluster0
227,521,cluster0
228,442,cluster0
229,442,cluster0
230,745,cluster0
231,442,cluster0
232,502,cluster0
233,442,cluster0
234,448,cluster0
235,448,cluster0
236,448,cluster0
237,517,cluster0
238,448,cluster0
239,598,cluster0
240,448,cluster0
241,448,cluster0
242,517,cluster0
243,448,cluster0
244,89,cluster0
245,442,cluster0
246,442,cluster0
247,596,cluster0
248,442,cluster0
249,590,cluster0
250,442,cluster0
251,442,cluster0
252,502,cluster0
253,606,cluster0
254,442,cluster0
255,448,cluster0
256,448,cluster0
257,517,cluster0
258,448,cluster0
259,448,cluster0
260,448,cluster0
261,448,cluster0
262,839,cluster0
263,448,cluster0
264,89,cluster0
265,606,cluster0
266,442,cluster0
267,521,cluster0
268,442,cluster0
269,442,cluster0
270,442,cluster0
271,442,cluster0
272,502,cluster0
273,442,cluster0
274,442,cluster0
275,457,cluster0
276,448,cluster0
277,666,cluster0
278,448,cluster0
279,448,cluster0
280,448,cluster0
281,448,cluster0
282,517,cluster0
283,596,cluster0
284,158,cluster0
285,442,cluster0
286,442,cluster0
287,521,cluster0
288,442,cluster0
289,442,cluster0
290,442,cluster0
291,442,cluster0
292,502,cluster0
293,442,cluster0
294,606,cluster0
295,442,cluster0
296,442,cluster0
297,517,cluster0
298,448,cluster0
299,448,cluster0
300,448,cluster0
301,770,cluster0
302,517,cluster0
303,448,cluster0
304,89,cluster0
305,442,cluster0
306,442,cluster0
307,521,cluster0
308,442,cluster0
309,592,cluster0
310,442,cluster0
311,442,cluster0
312,502,cluster0
313,442,cluster0
314,442,cluster0
315,442,cluster0
316,442,cluster0
317,517,cluster0
318,448,cluster0
319,448,cluster0
320,448,cluster0
321,584,cluster0
322,517,cluster0
323,448,cluster0
324,89,cluster0
325,442,cluster0
326,442,cluster0
327,521,cluster0
328,442,cluster0
329,442,cluster0
330,442,cluster0
331,592,cluster0
332,502,cluster0
333,745,cluster0
334,442,cluster0
335,442,cluster0
336,442,cluster0
337,502,cluster0
338,457,cluster0
339,448,cluster0
340,448,cluster0
341,448,cluster0
342,517,cluster0
343,448,cluster0
344,89,cluster0
345,442,cluster0
346,442,cluster0
347,685,cluster0
348,442,cluster0
349,442,cluster0
350,442,cluster0
351,442,cluster0
352,502,cluster0
353,442,cluster0
354,442,cluster0
355,442,cluster0
356,442,cluster0
357,502,cluster0
358,442,cluster0
359,584,cluster0
360,448,cluster0
361,448,cluster0
