No. ,length
0,0
1,1461
2,1461
3,0
4,1461
5,0
6,1461
7,0
8,1461
9,1461
10,0
11,1461
12,0
13,1461
14,1461
15,0
16,1461
17,0
18,1461
19,1461
20,0
21,1461
22,0
23,1461
24,0
25,1461
26,1461
27,0
28,1461
29,0
30,1461
31,1461
32,0
33,1461
34,0
35,1461
36,1461
37,0
38,1461
39,0
40,1461
41,0
42,1461
43,1461
44,0
45,1461
46,0
47,1461
48,1461
49,0
