@relation 2016-09-29-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,1268.984848,1803.94526,684.545455,848.667497,cluster1
1,340.996,424.951221,91.08,9.799673,cluster3
2,496.390533,859.563018,97.455621,24.807653,cluster3
3,5222.6875,12742.771832,95.625,21.785531,cluster2
4,277.762987,60.043537,918.201299,191.925644,cluster3
5,208.779449,2357.51018,421.844612,660.569797,cluster1
6,4386.4375,9806.903423,95.625,21.785531,cluster2
7,1158.152778,2179.693369,95,20.615528,cluster3
8,1764.886364,1813.92365,2525.477273,1689.266913,cluster0
9,4183.157895,562.312543,622,0,cluster3
10,356.736402,530.448205,91.129707,10.01985,cluster3
11,2192.131579,1630.447213,3136.289474,1276.720695,cluster0
12,290.047458,39.440035,493.59322,40.45467,cluster3
13,3814.933333,11568.112243,90,0,cluster2
14,4054.235294,9042.799069,100.588235,28.997077,cluster2
15,3955.95,1081.846915,243,49.78554,cluster3
16,458.886486,870.355127,97.783784,25.297297,cluster3
17,217.507092,2136.465309,433.074468,716.744144,cluster1
18,9398.833333,17266.169044,90,0,cluster2
19,148.289562,1441.88986,410.218855,712.451463,cluster1
20,59.295105,4.733415,72.369231,36.438098,cluster3
21,2217.394737,3139.868012,101.842105,30.422919,cluster3
22,182.18259,1402.498158,443.509554,718.984159,cluster1
23,598.570423,5.10095,113,0,cluster3
24,322.08502,228.0455,90.728745,8.065728,cluster3
25,290.047458,39.440035,813.532203,66.960232,cluster3
26,7815.272727,15310.798234,90,0,cluster2
27,10618.875,17078.154031,112.5,38.971143,cluster2
28,3270.705882,11080.481279,95.294118,21.176471,cluster2
29,58.959694,1.528434,866.555247,101.796597,cluster3
30,1875.340909,2956.001491,96.136364,22.685188,cluster3
31,224.944737,93.568605,799.576316,379.108403,cluster1
32,1593.238095,5122.518836,98.571429,26.418917,cluster3
33,1235.507246,2403.469109,101.73913,30.310304,cluster3
34,1600.867925,1689.2614,2474.924528,1698.634022,cluster0
