@relation 2016-09-25-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,1334.435484,1823.436127,749.629032,910.429981,cluster1
1,422.846535,955.168277,92.227723,13.983286,cluster1
2,460.172973,966.747443,95.351351,21.283436,cluster1
3,2905.793103,8002.593008,96.206897,22.805594,cluster2
4,284.239203,51.282126,934.923588,143.636437,cluster1
5,114.058577,895.75271,413.613668,643.049024,cluster1
6,1938.323529,5084.35291,95.294118,21.176471,cluster2
7,1196.048387,2438.401872,97.258065,24.506046,cluster1
8,2069.658537,2181.764285,2608.97561,1702.776563,cluster0
9,4129.368421,792.867096,622,0,cluster1
10,357,554.34687,90.753138,8.198488,cluster1
11,2544.363636,2645.609855,3095.787879,1410.371556,cluster0
12,290.040678,40.063065,493.620339,40.508525,cluster1
13,3194.521739,6655.640915,101.73913,30.310304,cluster2
14,6583.625,8486.296291,101.25,29.764702,cluster2
15,3555.227273,1482.166349,213.545455,64.053761,cluster1
16,517.631902,830.366701,97.177914,24.382162,cluster1
17,176.566396,1594.778658,422.463415,647.819088,cluster1
18,2204.363636,5394.170983,100.909091,29.373626,cluster2
19,237.334254,1772.269329,432.939227,621.646479,cluster1
20,59.252793,4.459038,70.625698,34.509971,cluster1
21,3257.130435,3770.491195,97.826087,25.35942,cluster2
22,594.363636,45.503792,113.944056,9.580557,cluster1
23,376.649533,723.342536,90.841121,8.659876,cluster1
24,288.080808,44.34932,808.053872,86.998416,cluster1
25,2491.590909,6466.267159,90,0,cluster2
26,3421.28,8667.667089,97.2,24.416388,cluster2
27,1261.052632,3802.889227,94.736842,20.096719,cluster1
28,58.959694,1.528434,867.597637,101.443371,cluster1
29,986.433735,2192.413926,97.590361,25.010377,cluster1
30,218.58312,92.719927,775.84399,388.614864,cluster1
31,2584.85,6039.351143,99,27,cluster2
32,1612.150943,3032.213597,98.490566,26.307057,cluster1
33,1493.490909,1177.286091,2770.545455,1631.976223,cluster0
