@relation 2016-09-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute ﻿time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
111,276.854369,60.484196,912.944984,181.403911,cluster3
112,157.14977,1395.575533,394.571429,640.460358,cluster3
113,12178.5,21351.61917,105,33.54102,cluster0
114,1263.432836,2880.062843,95.373134,21.323966,cluster3
115,2571.636364,2491.90629,2468.969697,1720.916449,cluster3
116,4097.789474,956.107821,622,0,cluster3
117,321.630189,240.926637,91.018868,9.521556,cluster3
118,1956.071429,1956.53124,3566.52381,775.217028,cluster3
119,289.057432,42.850621,491.655405,28.432522,cluster3
120,1909.225806,5500.357547,95.806452,22.110309,cluster1
121,13556,0,90,0,cluster3
122,4298.833333,251.463328,228,28.774989,cluster3
123,606.673759,1265.70167,94.468085,19.549012,cluster3
124,279.29108,2475.224907,387.399061,518.83599,cluster3
125,2198.909091,5932.965554,100.909091,29.373626,cluster1
126,167.509766,1433.52432,403.923828,652.469596,cluster3
127,59.210894,4.16995,75.582402,35.053374,cluster3
128,2149.925,3924.030819,94.5,19.615045,cluster3
129,264.762887,1912.70344,395.381443,642.143968,cluster3
130,598.556338,5.268194,113,0,cluster3
131,365.591743,577.264256,91.238532,10.484938,cluster3
132,289.057432,42.850621,810.756757,47.348852,cluster3
133,3058.863636,9828.314034,102.272727,30.885686,cluster1
134,1712.54,6807.188028,99,27,cluster1
135,1538.589286,4880.650717,90,0,cluster3
136,58.959694,1.528434,867.243919,102.380856,cluster3
137,1351.95,2970.132396,99,27,cluster3
138,222.005195,91.338844,789.701299,376.472578,cluster3
139,17878.25,24087.82372,90,0,cluster0
140,948.719512,2246.134193,94.390244,19.386792,cluster3
141,1694.857143,1596.217263,2572.142857,1716.952164,cluster3
142,1311.484375,1863.369369,726.6875,883.008173,cluster3
143,363.846809,588.909416,90.765957,8.267374,cluster3
144,483.664671,1048.524276,96.467066,23.242482,cluster3
145,1174.518519,4630.15342,93.333333,16.996732,cluster3
146,274.766026,63.84195,920.432692,229.10989,cluster3
147,260.451515,2205.435809,422.718182,712.296144,cluster3
148,4816.588235,8564.254654,95.294118,21.176471,cluster1
149,1219.279412,2342.840645,93.970588,18.482082,cluster3
150,1614.365385,1793.699036,3050.192308,2590.660274,cluster3
151,4214.736842,962.496088,622,0,cluster3
152,428.658292,1092.857949,91.356784,10.966754,cluster3
153,2648.966667,1872.297172,3379.966667,1092.075134,cluster3
154,55018,0,156,0,cluster2
155,286.755853,49.399578,498.849498,139.120556,cluster3
156,2554.235294,7515.013737,95.294118,21.176471,cluster1
157,2017.975,5555.506095,94.5,19.615045,cluster1
158,3604.409091,1503.894298,240.545455,70.45871,cluster3
159,451.836842,950.545804,93.789474,18.074638,cluster3
160,154.331481,1004.99393,2356.192593,17977.37108,cluster2
161,8978.888889,14796.15296,110,37.416574,cluster0
162,391.089109,3682.407845,881.534653,4497.285915,cluster3
163,59.210747,4.168499,70.664341,35.443709,cluster3
164,2705.172414,3537.15245,99.310345,27.408913,cluster3
165,177.260526,1171.183265,1739.581579,15393.16847,cluster2
166,594.377622,38.272633,113.944056,9.580557,cluster3
167,367.271552,708.417152,90.775862,8.320194,cluster3
168,46738,0,555,0,cluster2
169,287.721476,47.095999,813.47651,66.62462,cluster3
170,3662.105263,10067.22388,94.736842,20.096719,cluster1
171,3605.555556,9437.982684,100,28.284271,cluster1
