@relation 2018-12-2714-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,58.033333,7.425108,479.166667,137.513777,cluster2
1,1274,0,1140,0,cluster1
2,58.033333,7.425108,228.45,79.167423,cluster2
3,157.684211,418.681647,3491.368421,450.381734,cluster1
4,797.75,1279.552534,31661.75,50306.453455,cluster0
5,1934,0,14280,0,cluster1
6,74.361702,28.83292,726.680851,920.686079,cluster2
7,128.444444,354.098577,21555.037037,7668.182196,cluster1
8,518,349.29071,1770,900.607795,cluster1
9,58.033333,7.425108,2739.8,2388.232951,cluster2
10,272.75,370.22586,621.75,924.874687,cluster1
11,434,750,42528.4,81049.261683,cluster0
12,1064,1421.28463,720.333333,925.367074,cluster0
13,64.592593,20.761002,1282.703704,1176.848454,cluster2
14,124,98.910734,4167.703704,5032.323893,cluster2
