@relation 2016-09-30-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1}

@data
0,1259.776119,1843.347797,718.835821,885.906359,cluster0
1,383.685185,684.273211,92.083333,13.533651,cluster0
2,418.658291,694.38104,96.331658,23.016502,cluster0
3,1998.703704,3857.936801,96.666667,23.570226,cluster1
4,275.244373,60.988572,912.482315,200.981672,cluster0
5,257.299401,2270.564504,419.817365,741.160431,cluster0
6,4206.466667,7878.21379,96,22.449944,cluster1
7,2075.390244,3300.661611,96.585366,23.437489,cluster1
8,1571.074074,1784.496774,2398.592593,1703.527327,cluster0
9,4009.6,1283.990202,622,0,cluster1
10,366.175966,658.960769,90.772532,8.302475,cluster0
11,2321.628571,2107.899036,2889.485714,1402.904912,cluster0
12,289.243243,41.448702,493.581081,40.386814,cluster0
13,3433.08,6737.73062,100.8,29.246538,cluster1
14,4451.285714,8155.114569,96.428571,23.178544,cluster1
15,3609.545455,1740.081731,225.818182,64.382124,cluster1
16,566.184211,1088.383576,96.513158,23.318726,cluster0
17,232.016575,2063.759061,448.428177,696.017294,cluster0
18,1430.636364,4066.026501,96.136364,22.685188,cluster1
19,186.189873,1431.17077,459.598101,823.478893,cluster0
20,59.421864,5.470827,72.256482,33.822884,cluster0
21,3185.37037,3725.898193,96.666667,23.570226,cluster1
22,170.530752,1560.475802,1194.849658,10126.70109,cluster0
23,598.521127,5.686305,113,0,cluster0
24,404.175355,741.67459,91.706161,12.273692,cluster0
25,288.265993,43.286065,810.996633,74.953296,cluster0
26,1842.733333,3941.000067,103.866667,36.445149,cluster1
27,1513,3221.512786,90,0,cluster1
28,3037.6,5906.592016,99,27,cluster1
29,58.959694,1.528434,866.269632,101.917636,cluster0
30,1409.928571,2792.14976,94.821429,20.2653,cluster1
31,215.949495,90.472092,770.469697,397.314021,cluster0
32,1705.444444,5291.851201,97.5,24.874686,cluster1
33,930.632184,1985.52941,95.172414,20.946679,cluster0
34,1499.928571,1647.003858,2642.464286,1609.556527,cluster0
