@relation 2018-12-2716-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1}

@data
0,58.04918,7.365018,470.52459,115.516177,cluster0
1,58.1,6.913031,231.733333,81.210399,cluster0
2,305,777.920304,2189.363636,994.011549,cluster0
3,885.5,1431.539992,32294.75,55783.733854,cluster1
4,545,0,90,0,cluster0
5,1412,1353,7713,6747,cluster0
6,64.773585,20.717909,538.792453,528.689635,cluster0
7,220.625,640.046568,18846.1875,9541.768417,cluster0
8,440,387.201498,1058.833333,33.716547,cluster0
9,58.04918,7.365018,2377.868852,297.207521,cluster0
10,234.5,473.120228,4458.916667,5712.175424,cluster0
11,45.5,23.382686,589,868.175673,cluster0
12,825.5,711.200921,5749,5624.786351,cluster0
13,615.5,963.886274,621.25,924.00903,cluster0
14,600.2,1082.4,39098.4,74292.223191,cluster1
15,67.192308,23.298265,1329.711538,896.636886,cluster0
16,209.375,197.470528,3328.1875,2506.904147,cluster0
