@relation 2016-09-24-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1}

@data
0,1254.767442,1853.029409,696.767442,869.712324,cluster1
1,466.46087,1033.743398,95.478261,21.518182,cluster1
2,267.646766,77.380494,995.029851,322.002672,cluster1
3,306.446328,3269.187661,22394.372881,5851.256933,cluster0
4,1609.692308,2913.761457,96.923077,23.982242,cluster1
5,291.092105,2010.024513,458.013158,675.740938,cluster1
6,1309.848485,3124.333239,95.454545,21.474567,cluster1
7,1142.869565,961.002593,2376.565217,1617.143142,cluster1
8,3778.846154,1537.458535,622,0,cluster1
9,252.511737,89.259794,234.253521,58.552425,cluster1
10,1918.923077,1461.316633,2782.038462,1624.620464,cluster1
11,1453.928571,3011.579106,96.428571,23.178544,cluster1
12,271.717172,74.499751,574.065657,385.658038,cluster1
13,732.123288,2477.935044,92.465753,14.691422,cluster1
14,661.197531,1332.257774,93.333333,16.996732,cluster1
15,2213.454545,2146.707071,250.363636,71.981403,cluster1
16,800.471698,2478.634626,90,0,cluster1
17,410.864078,743.773546,94.368932,19.342087,cluster1
18,364.77931,3319.896343,467.537931,714.836726,cluster1
19,1128.352941,4252.194969,95.294118,21.176471,cluster1
20,643.483871,1241.484267,95.806452,22.110309,cluster1
21,141.671916,759.603716,525.238845,904.067974,cluster1
22,59.335183,5.25306,71.833518,36.147482,cluster1
23,1195.514286,1876.485916,90,0,cluster1
24,169.223176,1046.856345,440.287554,659.268862,cluster1
25,598.295455,6.571563,113,0,cluster1
26,2066.866667,5571.661845,96,22.449944,cluster1
27,1220.772727,3812.170539,94.090909,18.746901,cluster1
28,283.2,61.408571,805.221053,69.265497,cluster1
29,872.148936,1592.465491,99.574468,27.749445,cluster1
30,58.936053,1.924796,862.403528,146.167513,cluster1
31,188.466667,104.59182,516.926316,449.803097,cluster1
32,1093.653061,2420.909102,97.346939,24.642382,cluster1
33,638.121212,1992.663031,91.363636,10.993988,cluster1
34,1392.277778,7181.568339,10997.861111,6590.501773,cluster0
35,2494.9,2311.951425,2589.65,2526.139293,cluster1
36,600.45679,2057.339022,92.222222,13.96645,cluster1
37,774.254902,1811.611219,98.823529,26.76309,cluster1
