time_ave,time_sd,data_ave,data_sd,class
1254.767442,1853.029409,696.7674419,869.7123245,label
466.4608696,1033.743398,95.47826087,21.51818152,label
267.6467662,77.3804943,995.0298507,322.0026716,label
306.4463277,3269.187661,22394.37288,5851.256933,label
1609.692308,2913.761457,96.92307692,23.98224195,label
291.0921053,2010.024513,458.0131579,675.7409382,label
1309.848485,3124.333239,95.45454545,21.47456693,label
1142.869565,961.0025926,2376.565217,1617.143142,label
3778.846154,1537.458535,622,0,label
252.5117371,89.25979439,234.2535211,58.55242464,label
1918.923077,1461.316633,2782.038462,1624.620464,label
1453.928571,3011.579106,96.42857143,23.17854391,label
271.7171717,74.49975126,574.0656566,385.6580376,label
732.1232877,2477.935044,92.46575342,14.69142159,label
661.1975309,1332.257774,93.33333333,16.99673171,label
2213.454545,2146.707071,250.3636364,71.98140256,label
800.4716981,2478.634626,90,0,label
410.8640777,743.7735464,94.36893204,19.34208666,label
364.7793103,3319.896343,467.537931,714.8367262,label
1128.352941,4252.194969,95.29411765,21.17647059,label
643.483871,1241.484267,95.80645161,22.11030902,label
141.671916,759.6037163,525.2388451,904.0679736,label
59.33518313,5.253060489,71.83351831,36.14748166,label
1195.514286,1876.485916,90,0,label
169.223176,1046.856345,440.2875536,659.2688619,label
598.2954545,6.571562515,113,0,label
2066.866667,5571.661845,96,22.44994432,label
1220.772727,3812.170539,94.09090909,18.74690057,label
283.2,61.40857132,805.2210526,69.26549668,label
872.1489362,1592.465491,99.57446809,27.74944483,label
58.93605292,1.924796434,862.4035281,146.1675132,label
188.4666667,104.5918204,516.9263158,449.8030971,label
1093.653061,2420.909102,97.34693878,24.64238179,label
638.1212121,1992.663031,91.36363636,10.99398784,label
1392.277778,7181.568339,10997.86111,6590.501773,label
2494.9,2311.951425,2589.65,2526.139293,label
600.4567901,2057.339022,92.22222222,13.9664501,label
774.254902,1811.611219,98.82352941,26.7630898,label
1334.435484,1823.436127,749.6290323,910.4299805,label
422.8465347,955.1682767,92.22772277,13.98328648,label
460.172973,966.7474431,95.35135135,21.28343629,label
2905.793103,8002.593008,96.20689655,22.80559416,label
284.2392027,51.28212557,934.923588,143.6364371,label
114.0585774,895.7527098,413.6136681,643.0490241,label
1938.323529,5084.35291,95.29411765,21.17647059,label
1196.048387,2438.401872,97.25806452,24.50604631,label
2069.658537,2181.764285,2608.97561,1702.776563,label
4129.368421,792.8670965,622,0,label
357,554.3468696,90.75313808,8.198488264,label
2544.363636,2645.609855,3095.787879,1410.371556,label
290.040678,40.06306519,493.620339,40.50852507,label
3194.521739,6655.640915,101.7391304,30.31030445,label
6583.625,8486.296291,101.25,29.76470225,label
3555.227273,1482.166349,213.5454545,64.05376099,label
517.6319018,830.3667011,97.17791411,24.3821619,label
176.5663957,1594.778658,422.4634146,647.8190883,label
2204.363636,5394.170983,100.9090909,29.37362622,label
237.3342541,1772.269329,432.9392265,621.6464786,label
59.2527933,4.459038341,70.62569832,34.50997118,label
3257.130435,3770.491195,97.82608696,25.35942012,label
594.3636364,45.5037915,113.9440559,9.580557398,label
376.6495327,723.3425357,90.8411215,8.65987582,label
288.0808081,44.34931969,808.0538721,86.99841591,label
2491.590909,6466.267159,90,0,label
3421.28,8667.667089,97.2,24.41638794,label
1261.052632,3802.889227,94.73684211,20.09671904,label
58.95969423,1.528433833,867.5976372,101.4433709,label
986.4337349,2192.413926,97.59036145,25.01037671,label
218.5831202,92.71992655,775.8439898,388.6148643,label
2584.85,6039.351143,99,27,label
1612.150943,3032.213597,98.49056604,26.30705669,label
1493.490909,1177.286091,2770.545455,1631.976223,label
1290.765625,1825.101664,724.625,878.9527415,label
337.4395161,402.4866512,90.36290323,5.703471887,label
409.8595506,679.5503201,96.57303371,23.41726418,label
1438.865385,3866.434374,100.3846154,28.75369799,label
280.5457516,53.79693906,917.4183007,170.0151133,label
246.9084746,2529.450211,402.8067797,623.7180099,label
1491.512195,4430.551335,90,0,label
1174.9,2251.714624,93.85714286,18.22814599,label
1973.255814,1826.964379,2585.186047,1722.784661,label
4116.526316,923.7068553,622,0,label
394.4600939,760.2877479,92.11267606,13.62635112,label
2347.371429,1980.357516,3228.628571,1275.479161,label
291.0440678,36.09481052,491.9932203,29.02552859,label
8095.5,8036.5,90,0,label
1881.28125,4778.124771,98.4375,26.23325359,label
4099.65,1420.742773,226.8,47.07610859,label
565.1788079,1434.604415,95.9602649,22.38077486,label
184.1351931,1441.327178,421.3412017,601.0815266,label
4743.818182,10732.66346,106.3636364,34.71251471,label
236.3971014,1679.304468,419.4782609,655.4933093,label
59.4639103,5.693459493,74.08128942,36.5284596,label
3129.130435,3360.470261,101.7391304,30.31030445,label
197.7080925,1835.10699,428.5346821,653.3408145,label
598.528169,5.602682534,113,0,label
483.4171429,1121.861704,93.08571429,16.37658857,label
289.0774411,40.87293354,805.3063973,70.74183913,label
2733.357143,4369.68188,99.64285714,27.83653084,label
946.1625,2534.904892,95.625,21.78553132,label
3563.708333,9768.83266,101.25,29.76470225,label
58.95969423,1.528433833,866.9770674,101.5909861,label
2141.447368,2981.629462,99.47368421,27.62029845,label
218.7780612,93.21729184,770.2627551,388.0258773,label
2534.347826,5354.454428,93.91304348,18.3538008,label
1306.703125,2318.06092,95.625,21.78553132,label
1766.93617,2173.229428,2825.340426,1591.999242,label
1293.640625,1835.240493,725.65625,890.5169008,label
473.6201117,1584.103624,91.00558659,9.459999413,label
415.7178218,750.2031174,97.12871287,24.30567035,label
4774.117647,11150.64388,100.5882353,28.99707657,label
