@relation 2018-12-2714-weka.filters.unsupervised.attribute.Remove-R5

@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric

@data
58.033333,7.425108,479.166667,137.513777
1274,0,1140,0
58.033333,7.425108,228.45,79.167423
157.684211,418.681647,3491.368421,450.381734
797.75,1279.552534,31661.75,50306.453455
1934,0,14280,0
74.361702,28.83292,726.680851,920.686079
128.444444,354.098577,21555.037037,7668.182196
518,349.29071,1770,900.607795
58.033333,7.425108,2739.8,2388.232951
272.75,370.22586,621.75,924.874687
434,750,42528.4,81049.261683
1064,1421.28463,720.333333,925.367074
64.592593,20.761002,1282.703704,1176.848454
124,98.910734,4167.703704,5032.323893
