time_ave,time_sd,data_ave,data_sd,class
58.016949152542374,7.486692205764521,514.576271186,217.14910938829541,label
58.03333333333333,7.425107556272997,232.466666667,84.02727070554073,label
107.58333333333333,232.9974815076096,2452.95833333,734.6946349315627,label
350.5,504.8928104063277,50111.5,82351.39416093695,label
1225.0,0.0,15574.0,0.0,label
75.95454545454545,28.32759219098656,824.318181818,742.2175242513376,label
71.54166666666667,94.80395524742381,15705.7916667,12364.945693300226,label
362.25,792.8643878369112,1088.875,1188.2121483030714,label
58.03333333333333,7.425107556272997,2444.95,282.3804422524099,label
907.6666666666666,1200.1959099339667,45353.3333333,64045.96100371115,label
425.5,634.7966209739935,605.25,896.3083663003487,label
63.4,22.360354526381162,1340.12727273,1010.7015035391008,label
565.0,0.0,90.0,0.0,label
106.29032258064517,74.70984455939852,5397.5483871,4950.396529172768,label
