@relation 2018-12-2716-weka.filters.unsupervised.attribute.Remove-R5

@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric

@data
58.04918,7.365018,470.52459,115.516177
58.1,6.913031,231.733333,81.210399
305,777.920304,2189.363636,994.011549
885.5,1431.539992,32294.75,55783.733854
545,0,90,0
1412,1353,7713,6747
64.773585,20.717909,538.792453,528.689635
220.625,640.046568,18846.1875,9541.768417
440,387.201498,1058.833333,33.716547
58.04918,7.365018,2377.868852,297.207521
234.5,473.120228,4458.916667,5712.175424
45.5,23.382686,589,868.175673
825.5,711.200921,5749,5624.786351
615.5,963.886274,621.25,924.00903
600.2,1082.4,39098.4,74292.223191
67.192308,23.298265,1329.711538,896.636886
209.375,197.470528,3328.1875,2506.904147
