time_ave1,time_sd1,data_ave1,data_sd1,time_ave2,time_sd2,data_ave2,data_sd2,cluster_num
6832.5,5270.91118783081,180.0,0.0,544.0131578947369,862.6078268742782,90.0,0.0,2
52781.0,0.0,42.0,0.0,0,0,0,0,1
10567.4,5725.835680492412,1966.4,652.8000000000002,294.1958762886598,51.88699838641371,823.7182130580001,4.798658701051397,2
4179.125,8079.200160558903,90.0,0.0,0,0,0,0,1
11604.5,7820.187385862309,180.0,0.0,1375.526315789474,2351.5893699999897,90.0,0.0,2
289.2094594594595,43.08190712270574,1015.98310811,227.03893667985196,921.3870967741935,851.9914310268533,94.3978494624,42.84760185380857,2
113.27320954907162,129.4366272579196,97.1458885942,25.69154801865819,126.73629629629629,176.45062287282684,42.0,0.0,2
33140.0,23019.0,180.0,0.0,2550.3125,9227.789667755966,90.0,0.0,2
52781.0,0.0,644.0,0.0,0,0,0,0,1
52781.0,0.0,5904.0,0.0,0,0,0,0,1
10567.4,5725.835680492412,1148.2,289.895429422404,294.1958762886598,51.88699838641371,489.663230241,5.734982350037085,2
15521.0,0.0,180.0,0.0,34580.0,34521.0,90.0,0.0,2
164.6084452975048,87.7758456760581,1025.34357006,85.36089694567326,92.92374727668846,48.647398172162006,793.388888889,7.459269698162358,2
10110.714285714286,8220.886321946518,6325.0,343.4750978704903,152.44602851323828,1045.2330676077327,360.29531568199997,123.34142981170656,2
11833.0,9713.363578081488,6349.0,150.22649566571138,172.45689655172413,1408.2652442427516,358.129310345,111.66649315093494,2
13255.4,5352.152822930227,180.0,0.0,1404.698113207547,2449.024307720885,90.0,0.0,2
289.2094594594595,43.08190712270574,990.9560810810001,187.1616625700721,6062.0,4987.266342539625,88.0,0.0,2
2679.064516129032,2489.554979476788,3796.5483871,90.05906259484968,6847.5,6179.933231839968,344.5,299.01045132235765,2
26420.0,26361.0,270.0,0.0,602.7021276595743,43.8041652025245,113.0,0.0,2
15955.4,9062.609107756993,6270.6,341.02938289830684,303.5163636363636,2260.344748183627,361.48727272699995,126.68610751781964,2
3798.142857142857,1388.060458602108,242.095238095,93.67314234278619,0,0,0,0,1
13969.333333333336,7969.29025837447,6081.83333333,113.87188219905545,197.34942528735638,1560.652691994108,372.374712644,130.73352665913043,2
2664.4,2025.3625946975517,3749.8,254.51462302455886,4681.470588235295,5205.209495898678,358.352941176,398.5010061506924,2
53561.0,0.0,180.0,0.0,4879.181818181818,9760.918006549307,90.0,0.0,2
20799.5,10480.304420674049,180.0,0.0,1745.9795918367347,2740.614622632593,90.0,0.0,2
52001.0,0.0,180.0,0.0,5120.692307692308,8251.284500326323,90.0,0.0,2
26861.0,0.0,180.0,0.0,349.827868852459,462.3516012276309,90.0,0.0,2
24761.0,0.0,90.0,0.0,0,0,0,0,1
43070.0,28131.0,180.0,0.0,378.215859030837,669.9735823015498,90.0,0.0,2
27793.0,18401.04975266357,180.0,0.0,5289.125,13326.086737462541,90.0,0.0,2
7423.666666666668,2873.7085601864515,637.0,0.0,7257.363636363636,4455.1246747727055,593.545454545,42.547008518629106,2
11413.0,2040.448970202392,180.0,0.0,1978.0,4157.929412580257,90.0,0.0,2
5006.176470588235,2516.56919202908,180.0,0.0,490.9655172413793,857.7094991999536,90.0,0.0,2
4032.4285714285716,1040.9312941705969,2094.61904762,110.6153679973457,1819.0454545454545,1955.3418900603529,109.363636364,67.53352396776086,2
27200.0,2739.0,180.0,0.0,2731.1,7474.894366477699,90.0,0.0,2
22753.0,12992.806933068774,180.0,0.0,353.44813278008303,461.75964900678423,90.0,0.0,2
2798.4,2247.6054902940605,3819.53333333,99.33369127452288,6528.384615384615,4607.067305755725,215.692307692,69.50305429413169,2
52781.0,0.0,2567.0,0.0,0,0,0,0,1
32720.0,31239.0,180.0,0.0,2528.7241379310344,3124.1337656971546,90.0,0.0,2
