time_ave1,time_sd1,data_ave1,data_sd1,time_ave2,time_sd2,data_ave2,data_sd2,cluster_num
26967.5,26908.5,90.0,0.0,0,0,0,0,1,sencing
29097.5,6958.5,90.0,0.0,0,0,0,0,1,sencing
592.4565217391304,746.5391659990186,90.0,0.0,7416.909090909091,4059.284765807562,180.0,0.0,2,sencing
1819.4146341463413,1969.1488934724796,111.780487805,69.23290920389825,4132.526315789473,780.5440995951109,2068.36842105,114.07763308901151,2,sencing
325.0438247011952,221.19811852985612,90.0,0.0,16227.5,5128.5,180.0,0.0,2,sencing
334.64344262295083,313.62331208510363,90.0,0.0,38997.5,15718.5,180.0,0.0,2,sencing
12578.5,14623.082481132356,90.0,0.0,51956.0,0.0,180.0,0.0,2,sencing
128.50156739811914,157.9087743984677,42.0,0.0,111.60547945205481,114.6788749227043,100.052054795,27.47397328575881,2,sencing
6947.818181818182,15848.525809379827,90.0,0.0,52916.0,0.0,180.0,0.0,2,sencing
105.94559585492227,53.12954296364469,792.0297927460001,9.091098730233119,135.21416803953872,68.60560058687668,981.2833607910001,19.92164477935928,2,sencing
2480.7272727272725,3089.239538400969,90.0,0.0,15058.4,9768.088525397381,180.0,0.0,2,sencing
8545.333333333334,12807.3926915495,90.0,0.0,75956.0,0.0,180.0,0.0,2,sencing
159.5378640776699,1170.3404035650494,382.833009709,139.26872563316365,10281.125,7498.8213480102995,6276.5,266.5103187495749,2,sencing
324.1452991452992,2861.092413642199,375.760683761,103.96372227008044,33661.0,0.0,6257.0,0.0,2,sencing
3285.2272727272725,3632.058243573572,87.63636363639999,1.6663911618021234,288.6373239436619,41.66227582167772,967.563380282,19.446374363814968,2,sencing
56.0,0.0,742.0,0.0,289.660777385159,39.56322643080011,824.0,0.0,2,sencing
403.5743243243243,2986.5978477082103,369.290540541,144.3843057550108,27657.5,6481.5,6118.0,97.0,2,sencing
4834.117647058823,5107.2960715656345,196.05882352900002,30.55654466960112,2232.25,1334.29557726165,3825.27777778,109.5750912264459,2,sencing
3740.947368421053,4401.463494335349,90.0,0.0,19423.25,10079.599406102408,180.0,0.0,2,sencing
15417.5,4378.5,90.0,0.0,0,0,0,0,1,sencing
1963.925,2762.3415736246307,90.0,0.0,14350.4,5199.2430064385335,180.0,0.0,2,sencing
6183.384615384615,4483.175720890125,187.692307692,19.718732270784148,3250.88,1844.3700348899624,3838.8,164.22569835442934,2,sencing
132.07836456558778,1177.498088552085,378.30323679699995,129.64701142117812,8232.0,8660.251266562651,6357.55555556,327.536295227503,2,sencing
820.97,712.1540627560864,94.39,41.29307326901209,288.6373239436619,41.66227582167772,987.443661972,40.873391711115005,2,sencing
20456.0,0.0,90.0,0.0,0,0,0,0,1,sencing
7738.666666666668,6744.2539164008995,518.666666667,359.14651915648886,2618.9,1709.650341444121,3819.86666667,222.9897954815173,2,sencing
3721.714285714286,1479.740876378189,221.142857143,66.46036105707473,0,0,0,0,1,sencing
361.37610619469024,555.50524332205,90.0,0.0,26418.0,16319.139744484082,180.0,0.0,2,sencing
56.0,0.0,392.0,0.0,289.660777385159,39.56322643080011,490.0,0.0,2
7006.7,3784.0969345406565,592.2,44.399999999999984,9298.625,5291.025513487437,637.0,0.0,2
625.9055118110236,771.6671432997261,90.0,0.0,8125.333333333332,4840.81682730875,180.0,0.0,2
1424.5,2424.174756489309,90.0,0.0,32876.0,0.0,180.0,0.0,2,sencing
3261.375,8276.705548367358,90.0,0.0,39087.5,20548.5,180.0,0.0,2,sencing
602.9777777777778,46.04610679109892,113.0,0.0,0,0,0,0,1,sencing
