time_ave,time_sd,data_ave,data_sd,ip_number
17800.0,1821.505695846159,180.0,0.0,107.170.224.8_1
382.33632286995515,681.8582292049147,90.0,0.0,107.170.224.8_2
34971.0,16748.0,180.0,0.0,129.6.15.30_1
3338.2380952380954,2731.5434657379,90.0,0.0,129.6.15.30_2
13183.0,0.0,180.0,0.0,131.107.13.100_1
2177.8387096774195,4959.031038918105,90.0,0.0,131.107.13.100_2
26433.666666666668,22119.323759002116,180.0,0.0,132.163.4.101_1
1314.8709677419354,2328.972080359188,90.0,0.0,132.163.4.101_2
26713.666666666668,6282.097597317493,180.0,0.0,138.236.128.36_1
341.176,355.79427907710925,90.0,0.0,138.236.128.36_2
68923.0,0.0,180.0,0.0,173.71.69.90_1
4359.25,7065.75904892744,90.0,0.0,173.71.69.90_2
20125.0,11988.604088883743,5950.0,97.25996092945955,176.32.100.25_1
270.4777070063694,2189.9948014538204,355.949044586,111.35739194649524,176.32.100.25_2
12706.333333333334,10930.66522322508,6358.5,654.2463221142325,176.32.98.204_1
189.17494089834514,1655.8278932150104,358.650118203,123.89542430731129,176.32.98.204_2
292.1877133105802,33.04865973788816,991.061433447,63.09316190502638,192.168.1.1_1
823.8461538461538,739.5480268540169,96.4038461538,46.17494309495662,192.168.1.1_2
16973.666666666668,4551.032508001771,180.0,0.0,198.38.16.1_1
348.64897959183673,420.08243026011615,90.0,0.0,198.38.16.1_2
23923.0,0.0,180.0,0.0,204.11.201.12_1
2090.478260869565,4926.838415380248,90.0,0.0,204.11.201.12_2
14219.333333333334,13466.78137327385,6338.5,371.45872359299,205.251.242.52_1
207.41062801932367,2028.6233868999407,355.533816425,117.47230145899327,205.251.242.52_2
27711.0,8512.0,180.0,0.0,206.108.0.131_1
4276.2307692307695,7406.3968002079255,90.0,0.0,206.108.0.131_2
28513.666666666668,11611.536944876083,180.0,0.0,206.108.0.132_1
2593.060606060606,3035.91098543393,90.0,0.0,206.108.0.132_2
7246.636363636364,6298.709929569666,180.0,0.0,207.171.178.6_1
662.1317829457364,1194.2800067702867,90.0,0.0,207.171.178.6_2
291.1904761904762,35.11329250665043,490.224489796,37.75093744267716,208.67.220.220_1
11023.0,0.0,180.0,0.0,208.75.88.4_1
4923.4,7100.339022891794,90.0,0.0,208.75.88.4_2
13795.8,8970.05913915845,180.0,0.0,208.75.89.4_1
1639.0851063829787,2435.436330602071,90.0,0.0,208.75.89.4_2
8049.4,3074.423106860863,270.0,0.0,224.0.0.22_1
7623.4,5338.213768668317,178.2,64.12144727000475,224.0.0.22_2
278.35714285714283,55.48712013546578,1184.02597403,23.553186028714272,23.23.189.20_1
75.28824049513705,26.914772543669294,793.270557029,27.98669017921784,23.23.189.20_2
12086.333333333334,8656.016148064624,637.0,0.0,239.255.255.250_1
6772.666666666667,2898.0478295263215,594.666666667,40.90503908104994,239.255.255.250_2
12490.0,11303.210296194617,90.0,0.0,45.79.10.228_1
2708.4666666666667,2491.4009945321027,3803.8,83.85956514713554,54.239.26.180_1
4674.529411764706,3357.6013517644174,243.529411765,206.59113290209638,54.239.26.180_2
21133.666666666668,29676.891181898118,46917.6666667,7763.800028909097,54.239.29.231_1
256.3,2397.20889399079,426.507142857,614.8860869697572,54.239.29.231_2
9897.0,13297.143603044979,90.0,0.0,71.252.219.43_1
7437.545454545455,6988.785254881063,180.0,0.0,72.21.192.213_1
428.9695431472081,627.6943378854846,90.0,0.0,72.21.192.213_2
2708.1612903225805,1899.9991018125925,3750.09677419,291.4306595820573,72.21.207.109_1
3322.36,2864.180258014499,299.8,290.17222472180214,72.21.207.109_2
1845.3111111111111,1494.9941928125374,3131.44444444,1911.872875313112,72.21.207.120_1
4507.631578947368,955.5566143422881,2043.05263158,114.98305306902749,74.125.34.101_1
1894.906976744186,2172.6580849589222,124.627906977,84.13472674500385,74.125.34.101_2
292.1877133105802,33.04865973788816,969.034129693,67.38397077761122,8.8.8.8_1
5717.933333333333,3589.9050956195983,116.133333333,72.12014666898256,8.8.8.8_2
292.1877133105802,33.784029779614684,825.945392491,48.34881528560676,93.184.216.34_1
36501.0,35902.0,74.0,0.0,93.184.216.34_2
57643.0,0.0,180.0,0.0,96.244.96.19_1
5928.538461538462,11154.451175102768,90.0,0.0,96.244.96.19_2
29211.0,5708.0,180.0,0.0,97.107.128.58_1
11719.8,14711.650980090575,90.0,0.0,97.107.128.58_2
602.7163120567376,43.971997253109265,113.0,0.0,Tp-LinkT_51:33:e9_1
126.98813056379822,153.90451346742466,97.3353115727,25.58207306477812,Tp-LinkT_51:33:ea_1
113.69866666666667,142.9083524438725,42.0,0.0,Tp-LinkT_51:33:ea_2
