@relation communication_pattern.2016-09-24_to_30pattern

@attribute timeave_1 real
@attribute timesd_1 real
@attribute dataave_1 real
@attribute datasd_1 real
@attribute timeave_2 real
@attribute timesd_2 real
@attribute dataave_2 real
@attribute datasd_2 real
@attribute cluster real
@attribute class {sencing,streaming,kensaku}

@data
27570.0,27451.0,42679.0,15163.0,395.01,3700.5740230266933,463.56,695.4759639268633,2,kensaku
1824.8863636363642,2030.856718189161,134.045454545,75.42514487449691,4198.95,940.6455482805412,2030.5,99.56982474625532,2,sencing
46738.0,0.0,555.0,0.0,0,0,0,0,1,sencing
264.4738461538462,2227.636887291919,335.772307692,120.47185628275619,16786.8,11573.438355130249,6074.2,334.8840993537914,2,sencing
8578.0,0.0,180.0,0.0,2713.9375,7718.290901073485,90.0,0.0,2,sencing
4214.736842105263,962.4960884188603,622.0,0.0,0,0,0,0,1,sencing
39628.5,19349.5,1624.0,0.0,289.67229729729735,51.37064615725904,808.0,0.0,2,sencing
41218.5,2939.5,180.0,0.0,366.9785407725322,590.5087967375905,90.0,0.0,2,sencing
79258.0,0.0,2842.0,0.0,287.7214765100672,47.85933957334877,490.986577181,30.55559057079324,2,sencing
2122.657894736842,5684.9670937172705,90.0,0.0,40378.5,24540.5,180.0,0.0,2,sencing
17098.5,13260.5,180.0,0.0,370.4739130434783,710.6981299596654,90.0,0.0,2,sencing
19978.666666666668,14039.176621946963,180.0,0.0,1550.7450980392155,2833.0823153613487,90.0,0.0,2,sencing
1663.686274509804,1454.0599077417019,3088.92156863,2600.637107786771,0,0,0,0,1,sencing
1614.3653846153845,1793.6990360366196,3050.19230769,2590.660274008432,0,0,0,0,1,sencing
5798.916666666668,2976.693928346607,180.0,0.0,521.1870967741935,1081.1872195436265,90.0,0.0,2,sencing
115.8319783197832,138.86667274233005,42.0,0.0,123.14676258992806,146.5201782465609,101.10215827299999,28.13001026228481,2,sencing
3604.409090909091,1503.8942981198363,240.545454545,70.45870955436322,0,0,0,0,1,sencing
53638.0,0.0,180.0,0.0,5117.6875,8740.127478466418,90.0,0.0,2,sencing
134.45054945054946,60.40807971351621,980.2762951330001,9.263911178557349,106.43391521197009,49.8986878510813,776.89276808,7.0347177933800005,2,sencing
118.0911602209945,131.93735948523258,101.983425414,29.0877839100354,120.27762039660057,151.95968036509092,42.0,0.0,2,sencing
9943.75,11283.801561862914,6416.25,202.71454683865193,150.32764505119454,1455.3625500315634,328.225255973,121.55880517840768,2,sencing
5638.928571428572,4151.996085607254,180.0,0.0,541.3161290322581,888.1129305903552,90.0,0.0,2,sencing
4183.1578947368425,562.3125430949266,622.0,0.0,0,0,0,0,1,sencing
4183.1578947368425,562.3125430949266,2000.42105263,135.9788357330398,1782.3829787234042,1961.1513287297234,152.595744681,144.8138437567154,2,sencing
23018.66666666667,16519.407582867156,180.0,0.0,345.14979757085024,426.07871893193465,90.0,0.0,2,sencing
5301.4375,3117.9523121904467,180.0,0.0,502.4260355029586,902.835825913506,90.0,0.0,2,sencing
25598.66666666667,22899.121094244838,180.0,0.0,2012.6341463414635,3021.414543183517,90.0,0.0,2,sencing
7815.272727272727,15310.798233991054,90.0,0.0,0,0,0,0,1,sencing
39568.5,37830.5,1624.0,0.0,292.0341296928328,47.03871249714771,808.0,0.0,2,sencing
42418.5,9299.5,180.0,0.0,14158.833333333336,18441.40016752765,90.0,0.0,2,sencing
4018.0,0.0,180.0,0.0,4678.933333333333,10060.74868298688,90.0,0.0,2,sencing
11964.571428571431,6952.82495222816,6206.71428571,234.5766486281886,184.9461206896552,1418.194392690614,356.56465517199996,123.55586531683338,2,sencing
2621.548387096774,1682.8896009391135,3733.58064516,56.58266815083607,11904.571428571431,7545.229180598499,491.142857143,507.6957549476229,2,sencing
3814.933333333333,11568.112242808773,90.0,0.0,0,0,0,0,1,sencing
39568.5,37830.5,980.0,0.0,292.0341296928328,47.03871249714771,490.27303754300004,4.665667574234826,2,sencing
8805.555555555555,6935.662863636372,180.0,0.0,1420.9833333333331,2533.3652354899186,90.0,0.0,2,sencing
9398.833333333334,17266.169044470233,90.0,0.0,0,0,0,0,1,sencing
81238.0,0.0,180.0,0.0,5570.9333333333325,13086.76915802963,90.0,0.0,2,sencing
26520.0,19139.0,180.0,0.0,324.72244897959183,230.11178407355115,90.0,0.0,2,sencing
16846.8,4833.353634899892,180.0,0.0,2553.5151515151515,3254.4137313222664,90.0,0.0,2,sencing
290.0474576271186,39.440035393511245,998.681355932,85.05770817624547,1008.4,1032.622534532115,108.56470588200001,48.344218477576106,2,sencing
14248.75,14344.55629106387,6315.0,237.868661239769,220.65107913669064,2156.1218208421797,348.442446043,123.84628118680435,2,sencing
