@relation 176.32.98.204_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,6184,cluster0
1,298,cluster1
2,298,cluster1
3,298,cluster1
4,583,cluster1
5,393,cluster1
6,393,cluster1
7,488,cluster1
8,298,cluster1
9,298,cluster1
10,393,cluster1
11,671,cluster1
12,912,cluster1
13,393,cluster1
14,298,cluster1
15,393,cluster1
16,393,cluster1
17,298,cluster1
18,298,cluster1
19,298,cluster1
20,298,cluster1
21,488,cluster1
22,298,cluster1
23,393,cluster1
24,298,cluster1
25,298,cluster1
26,298,cluster1
27,298,cluster1
28,298,cluster1
29,393,cluster1
30,298,cluster1
31,488,cluster1
32,298,cluster1
33,298,cluster1
34,488,cluster1
35,298,cluster1
36,393,cluster1
37,298,cluster1
38,298,cluster1
39,488,cluster1
40,298,cluster1
41,298,cluster1
42,298,cluster1
43,393,cluster1
44,488,cluster1
45,298,cluster1
46,298,cluster1
47,298,cluster1
48,488,cluster1
49,298,cluster1
50,298,cluster1
51,298,cluster1
52,298,cluster1
53,488,cluster1
54,393,cluster1
55,298,cluster1
56,393,cluster1
57,298,cluster1
58,298,cluster1
59,298,cluster1
60,298,cluster1
61,583,cluster1
62,298,cluster1
63,583,cluster1
64,488,cluster1
65,298,cluster1
66,393,cluster1
67,583,cluster1
68,488,cluster1
69,298,cluster1
70,298,cluster1
71,298,cluster1
72,352,cluster1
73,694,cluster1
74,5627,cluster0
75,298,cluster1
76,298,cluster1
77,393,cluster1
78,298,cluster1
79,298,cluster1
80,298,cluster1
81,1439,cluster1
82,298,cluster1
83,298,cluster1
84,298,cluster1
85,298,cluster1
86,298,cluster1
87,298,cluster1
88,488,cluster1
89,298,cluster1
90,298,cluster1
91,298,cluster1
92,298,cluster1
93,488,cluster1
94,298,cluster1
95,298,cluster1
96,488,cluster1
97,298,cluster1
98,298,cluster1
99,298,cluster1
100,298,cluster1
101,298,cluster1
102,298,cluster1
103,298,cluster1
104,298,cluster1
105,393,cluster1
106,488,cluster1
107,298,cluster1
108,298,cluster1
109,298,cluster1
110,298,cluster1
111,298,cluster1
112,488,cluster1
113,298,cluster1
114,352,cluster1
115,298,cluster1
116,488,cluster1
117,298,cluster1
118,488,cluster1
119,298,cluster1
120,298,cluster1
121,488,cluster1
122,298,cluster1
123,298,cluster1
124,298,cluster1
125,393,cluster1
126,298,cluster1
127,298,cluster1
128,298,cluster1
129,298,cluster1
130,298,cluster1
131,298,cluster1
132,298,cluster1
133,488,cluster1
134,298,cluster1
135,298,cluster1
136,488,cluster1
137,298,cluster1
138,298,cluster1
139,298,cluster1
140,298,cluster1
141,352,cluster1
142,298,cluster1
143,298,cluster1
144,393,cluster1
145,393,cluster1
146,298,cluster1
147,298,cluster1
148,298,cluster1
149,640,cluster1
150,7346,cluster0
151,298,cluster1
152,298,cluster1
153,298,cluster1
154,393,cluster1
155,298,cluster1
156,298,cluster1
157,298,cluster1
158,298,cluster1
159,488,cluster1
160,298,cluster1
161,298,cluster1
162,298,cluster1
163,298,cluster1
164,393,cluster1
165,393,cluster1
166,298,cluster1
167,298,cluster1
168,298,cluster1
169,298,cluster1
170,298,cluster1
171,298,cluster1
172,583,cluster1
173,298,cluster1
174,298,cluster1
175,298,cluster1
176,298,cluster1
177,298,cluster1
178,298,cluster1
179,298,cluster1
180,298,cluster1
181,298,cluster1
182,298,cluster1
183,298,cluster1
184,298,cluster1
185,298,cluster1
186,298,cluster1
187,583,cluster1
188,298,cluster1
189,393,cluster1
190,393,cluster1
191,393,cluster1
192,298,cluster1
193,488,cluster1
194,298,cluster1
195,393,cluster1
196,393,cluster1
197,393,cluster1
198,298,cluster1
199,393,cluster1
200,298,cluster1
201,488,cluster1
202,298,cluster1
203,298,cluster1
204,298,cluster1
205,393,cluster1
206,298,cluster1
207,203,cluster1
208,583,cluster1
209,393,cluster1
210,352,cluster1
211,298,cluster1
212,298,cluster1
213,298,cluster1
214,6413,cluster0
215,298,cluster1
216,298,cluster1
217,298,cluster1
218,298,cluster1
219,298,cluster1
220,298,cluster1
221,298,cluster1
222,298,cluster1
223,488,cluster1
224,1157,cluster1
225,393,cluster1
226,393,cluster1
227,298,cluster1
228,393,cluster1
229,298,cluster1
230,298,cluster1
231,488,cluster1
232,393,cluster1
233,298,cluster1
234,393,cluster1
235,298,cluster1
236,298,cluster1
237,298,cluster1
238,393,cluster1
239,298,cluster1
240,298,cluster1
241,298,cluster1
242,488,cluster1
243,298,cluster1
244,298,cluster1
245,298,cluster1
246,298,cluster1
247,393,cluster1
248,488,cluster1
249,298,cluster1
250,298,cluster1
251,298,cluster1
252,393,cluster1
253,298,cluster1
254,298,cluster1
255,298,cluster1
256,488,cluster1
257,298,cluster1
258,298,cluster1
259,393,cluster1
260,393,cluster1
261,298,cluster1
262,393,cluster1
263,298,cluster1
264,393,cluster1
265,298,cluster1
266,298,cluster1
267,519,cluster1
268,298,cluster1
269,298,cluster1
270,298,cluster1
271,298,cluster1
272,488,cluster1
273,298,cluster1
274,298,cluster1
275,488,cluster1
276,298,cluster1
277,298,cluster1
278,298,cluster1
279,298,cluster1
280,393,cluster1
281,298,cluster1
282,298,cluster1
283,488,cluster1
284,352,cluster1
285,298,cluster1
286,298,cluster1
287,488,cluster1
288,437,cluster1
289,5578,cluster0
290,393,cluster1
291,298,cluster1
292,298,cluster1
293,298,cluster1
294,298,cluster1
295,393,cluster1
296,1342,cluster1
297,393,cluster1
298,298,cluster1
299,298,cluster1
300,298,cluster1
301,298,cluster1
302,488,cluster1
303,488,cluster1
304,298,cluster1
305,298,cluster1
306,488,cluster1
307,393,cluster1
308,298,cluster1
309,298,cluster1
310,298,cluster1
311,488,cluster1
312,298,cluster1
313,298,cluster1
314,298,cluster1
315,298,cluster1
316,298,cluster1
317,583,cluster1
318,298,cluster1
319,298,cluster1
320,298,cluster1
321,488,cluster1
322,298,cluster1
323,298,cluster1
324,352,cluster1
325,298,cluster1
326,488,cluster1
327,298,cluster1
328,298,cluster1
329,298,cluster1
330,393,cluster1
331,298,cluster1
332,298,cluster1
333,298,cluster1
334,488,cluster1
335,298,cluster1
336,488,cluster1
337,298,cluster1
338,298,cluster1
339,298,cluster1
340,298,cluster1
341,488,cluster1
